mC Cluster,"Cell Subclasses Label 
(From AIBS scRNA-seq (10X) Annotation)",Subclass Int Index (Extended Data Fig. 4 & Extended Data 12g),"Partially Overlap With 
AIBS snRNA-seq (10X) Cell subclasses",Matched AIBS 10X RNA Clusters,"Matched CEMBA ATAC Clusters: 
Cluster Name (%)"
c0_c0_c0_c0_r0,MY Lhx1 Gly-Gaba,136,,"3638, 3656, 3660, 3666, 3670, 3748","GABA_1_22 (5), MBGL9 (5), MYGA1 (75)"
c0_c0_c0_c0_r1,MY Lhx1 Gly-Gaba,136,,"3638, 3751","GABA_1_11 (8), GABA_1_15 (5), MYGA1 (64), MYGA2 (17)"
c0_c0_c0_c0_r2,MY Lhx1 Gly-Gaba,136,,3638,"GABA_1_15 (17), MYGA1 (49), MYGA2 (29)"
c0_c0_c0_c0_r3,MY Lhx1 Gly-Gaba,136,,"3626, 3638","GABA_1_15 (16), MYGA1 (48), MYGA2 (28)"
c0_c0_c0_c0_r4,MY Lhx1 Gly-Gaba,136,,"3627, 3638, 3658, 3659","GABA_1_15 (17), MYGA1 (48), MYGA2 (29)"
c0_c0_c0_c0_r5,MY Lhx1 Gly-Gaba,136,,3638,"GABA_1_11 (10), GABA_1_15 (37), MYGA2 (24), RMSTTH1 (8), SEROPM6 (8)"
c0_c0_c0_c0_r6,MY Lhx1 Gly-Gaba,136,,"3638, 3658, 3662, 3663, 3687","GABA_1_14 (8), GABA_1_15 (50), MYGA2 (18), SEROPM7 (10)"
c0_c0_c0_c0_r7,MY Lhx1 Gly-Gaba,136,,"3638, 3751","GABA_1_14 (8), GABA_1_15 (49), MYGA2 (18), SEROPM7 (10)"
c0_c0_c0_c0_r8,MY Lhx1 Gly-Gaba,136,,3638,"GABA_1_14 (8), GABA_1_15 (50), MYGA2 (18), SEROPM7 (10)"
c0_c0_c0_c1_r0,MY Lhx1 Gly-Gaba,136,,3638,"GABA_1_15 (6), MYGA1 (79), MYGA2 (5)"
c0_c0_c0_c1_r1,MY Lhx1 Gly-Gaba,136,,"3634, 3635, 3638","MYGA1 (87), MYGA2 (9)"
c0_c0_c0_c1_r2,MY Lhx1 Gly-Gaba,136,"CU-ECU-SPVI Foxb1 Glut, PCG-po Gata3 Slc6a5 Gly-Gaba","3618, 3625, 3633, 3638","MYGA1 (87), MYGA2 (9)"
c0_c0_c0_c1_r3,MY Lhx1 Gly-Gaba,136,"PRP-MY Otp Gly-Gaba, CU-ECU-SPVI Foxb1 Glut, PCG-po Gata3 Slc6a5 Gly-Gaba","3634, 3635, 3638","MYGA1 (87), MYGA2 (9)"
c0_c0_c0_c1_r4,PRNc Otp Gly-Gaba,185,MY Lhx1 Gly-Gaba,"3705, 3730, 3746, 3752, 3755, 4084, 4101","GABA_1_15 (9), MBGL31 (10), MYGA2 (10), SEROPM7 (59)"
c0_c0_c0_c2_r0,MV-SPIV-PRP Dmbx1 Gly-Gaba,135,,"2172, 3693, 3694, 3696, 3698","MBGL30 (81), MBGL32 (8)"
c0_c0_c0_c2_r1,MV-SPIV-PRP Dmbx1 Gly-Gaba,135,,"2171, 3116, 3694, 3736, 4051","GABA_1_15 (8), GABA_1_22 (7), MBGL32 (5), MYGA1 (46), MYGA2 (27)"
c0_c0_c0_c2_r2,MY Lhx1 Gly-Gaba,136,"PRP-MY Otp Gly-Gaba, MV-SPIV Phox2b Ebf3 Lbx1 Glut","3624, 3638, 3659","GABA_1_15 (10), MYGA1 (52), MYGA2 (31)"
c0_c0_c0_c2_r3,PRP Otp Gly-Gaba,185,"ECU-CU Slc6a2 Glut, MV-SPIV Phox2b Ebf3 Lbx1 Glut","3768, 3841, 3842, 3844, 3845, 3846","GABA_1_15 (10), MYGA1 (52), MYGA2 (31)"
c0_c0_c0_c2_r4,MV-SPIV Phox2b Ebf3 Lbx1 Glut,134,,"4318, 4319, 4320, 4322","GABA_1_15 (9), MYGA1 (52), MYGA2 (31)"
c0_c0_c0_c3_r0,MY Lhx1 Gly-Gaba,136,,"3636, 3657",MYGA1 (97)
c0_c0_c1_c0_r0,PPN-CUN-PCG Otp En1 Gaba,181,"PCG-LDT-DTN-RPO-CS Pax8 Gaba, PCG-LDT-DTN-RPO-CS Tox Gaba","2914, 2915, 2936, 2942","GABA_1_11 (54), MBGL30 (5), SEROPM6 (24)"
c0_c0_c1_c0_r1,PPN-CUN-PCG Otp En1 Gaba,181,"PCG-LDT-DTN-RPO-CS Pax8 Gaba, PCG-LDT-DTN-RPO-CS Tox Gaba","2915, 2917, 2936, 2942",GABA_1_11 (87)
c0_c0_c1_c0_r2,PPN-CUN-PCG Otp En1 Gaba,181,"PCG-LDT-DTN-RPO-CS Pax8 Gaba, PCG-LDT-DTN-RPO-CS Tox Gaba","2916, 2924, 2926, 2936, 2937, 2942, 2946, 2947","GABA_1_11 (25), SEROPM6 (65)"
c0_c0_c1_c0_r3,PPN-CUN-PCG Otp En1 Gaba,181,"PCG-LDT-DTN-RPO-CS Pax8 Gaba, PCG-LDT-DTN-RPO-CS Tox Gaba","2916, 2924, 2926, 2936, 2937, 2942, 2946, 2947","GABA_1_11 (21), SEROPM6 (72)"
