cl,subclass_id,subclass_id_label
128,1,001 CLA-EPd-CTX Car3 Glut
129,1,001 CLA-EPd-CTX Car3 Glut
130,1,001 CLA-EPd-CTX Car3 Glut
143,1,001 CLA-EPd-CTX Car3 Glut
131,1,001 CLA-EPd-CTX Car3 Glut
116,2,002 IT EP-CLA Glut
120,2,002 IT EP-CLA Glut
121,2,002 IT EP-CLA Glut
122,2,002 IT EP-CLA Glut
125,2,002 IT EP-CLA Glut
126,2,002 IT EP-CLA Glut
127,2,002 IT EP-CLA Glut
117,2,002 IT EP-CLA Glut
118,2,002 IT EP-CLA Glut
119,2,002 IT EP-CLA Glut
148,2,002 IT EP-CLA Glut
149,2,002 IT EP-CLA Glut
159,2,002 IT EP-CLA Glut
160,2,002 IT EP-CLA Glut
162,2,002 IT EP-CLA Glut
123,2,002 IT EP-CLA Glut
124,2,002 IT EP-CLA Glut
97,3,003 L5/6 IT TPE-ENT Glut
115,3,003 L5/6 IT TPE-ENT Glut
165,3,003 L5/6 IT TPE-ENT Glut
111,3,003 L5/6 IT TPE-ENT Glut
147,3,003 L5/6 IT TPE-ENT Glut
158,3,003 L5/6 IT TPE-ENT Glut
114,3,003 L5/6 IT TPE-ENT Glut
145,3,003 L5/6 IT TPE-ENT Glut
146,3,003 L5/6 IT TPE-ENT Glut
155,3,003 L5/6 IT TPE-ENT Glut
101,4,004 L6 IT CTX Glut
103,4,004 L6 IT CTX Glut
104,4,004 L6 IT CTX Glut
113,4,004 L6 IT CTX Glut
138,4,004 L6 IT CTX Glut
105,4,004 L6 IT CTX Glut
108,4,004 L6 IT CTX Glut
139,4,004 L6 IT CTX Glut
140,4,004 L6 IT CTX Glut
141,4,004 L6 IT CTX Glut
142,4,004 L6 IT CTX Glut
106,4,004 L6 IT CTX Glut
107,4,004 L6 IT CTX Glut
132,4,004 L6 IT CTX Glut
133,4,004 L6 IT CTX Glut
134,4,004 L6 IT CTX Glut
112,4,004 L6 IT CTX Glut
135,4,004 L6 IT CTX Glut
136,4,004 L6 IT CTX Glut
137,4,004 L6 IT CTX Glut
109,4,004 L6 IT CTX Glut
110,4,004 L6 IT CTX Glut
98,5,005 L5 IT CTX Glut
99,5,005 L5 IT CTX Glut
100,5,005 L5 IT CTX Glut
191,5,005 L5 IT CTX Glut
203,5,005 L5 IT CTX Glut
202,5,005 L5 IT CTX Glut
192,5,005 L5 IT CTX Glut
193,5,005 L5 IT CTX Glut
204,5,005 L5 IT CTX Glut
169,5,005 L5 IT CTX Glut
102,5,005 L5 IT CTX Glut
164,6,006 L4/5 IT CTX Glut
166,6,006 L4/5 IT CTX Glut
168,6,006 L4/5 IT CTX Glut
174,6,006 L4/5 IT CTX Glut
175,6,006 L4/5 IT CTX Glut
176,6,006 L4/5 IT CTX Glut
182,6,006 L4/5 IT CTX Glut
190,6,006 L4/5 IT CTX Glut
198,6,006 L4/5 IT CTX Glut
178,6,006 L4/5 IT CTX Glut
179,6,006 L4/5 IT CTX Glut
180,6,006 L4/5 IT CTX Glut
177,6,006 L4/5 IT CTX Glut
184,6,006 L4/5 IT CTX Glut
186,6,006 L4/5 IT CTX Glut
187,6,006 L4/5 IT CTX Glut
205,6,006 L4/5 IT CTX Glut
152,6,006 L4/5 IT CTX Glut
163,6,006 L4/5 IT CTX Glut
167,6,006 L4/5 IT CTX Glut
170,6,006 L4/5 IT CTX Glut
172,6,006 L4/5 IT CTX Glut
173,6,006 L4/5 IT CTX Glut
153,6,006 L4/5 IT CTX Glut
154,6,006 L4/5 IT CTX Glut
181,6,006 L4/5 IT CTX Glut
197,6,006 L4/5 IT CTX Glut
199,6,006 L4/5 IT CTX Glut
194,6,006 L4/5 IT CTX Glut
171,6,006 L4/5 IT CTX Glut
185,6,006 L4/5 IT CTX Glut
196,6,006 L4/5 IT CTX Glut
195,6,006 L4/5 IT CTX Glut
201,6,006 L4/5 IT CTX Glut
188,6,006 L4/5 IT CTX Glut
189,6,006 L4/5 IT CTX Glut
200,6,006 L4/5 IT CTX Glut
237,7,007 L2/3 IT CTX Glut
239,7,007 L2/3 IT CTX Glut
240,7,007 L2/3 IT CTX Glut
241,7,007 L2/3 IT CTX Glut
242,7,007 L2/3 IT CTX Glut
150,7,007 L2/3 IT CTX Glut
232,7,007 L2/3 IT CTX Glut
233,7,007 L2/3 IT CTX Glut
234,7,007 L2/3 IT CTX Glut
236,7,007 L2/3 IT CTX Glut
243,7,007 L2/3 IT CTX Glut
228,7,007 L2/3 IT CTX Glut
229,7,007 L2/3 IT CTX Glut
230,7,007 L2/3 IT CTX Glut
231,7,007 L2/3 IT CTX Glut
235,7,007 L2/3 IT CTX Glut
244,7,007 L2/3 IT CTX Glut
238,7,007 L2/3 IT CTX Glut
207,8,008 L2/3 IT ENT Glut
208,8,008 L2/3 IT ENT Glut
210,8,008 L2/3 IT ENT Glut
209,8,008 L2/3 IT ENT Glut
211,8,008 L2/3 IT ENT Glut
212,8,008 L2/3 IT ENT Glut
214,8,008 L2/3 IT ENT Glut
215,8,008 L2/3 IT ENT Glut
219,8,008 L2/3 IT ENT Glut
251,8,008 L2/3 IT ENT Glut
252,8,008 L2/3 IT ENT Glut
255,8,008 L2/3 IT ENT Glut
250,8,008 L2/3 IT ENT Glut
253,8,008 L2/3 IT ENT Glut
254,8,008 L2/3 IT ENT Glut
213,8,008 L2/3 IT ENT Glut
216,8,008 L2/3 IT ENT Glut
218,9,009 L2/3 IT PIR-ENTl Glut
220,9,009 L2/3 IT PIR-ENTl Glut
224,9,009 L2/3 IT PIR-ENTl Glut
225,9,009 L2/3 IT PIR-ENTl Glut
226,9,009 L2/3 IT PIR-ENTl Glut
227,9,009 L2/3 IT PIR-ENTl Glut
271,9,009 L2/3 IT PIR-ENTl Glut
272,9,009 L2/3 IT PIR-ENTl Glut
273,9,009 L2/3 IT PIR-ENTl Glut
274,9,009 L2/3 IT PIR-ENTl Glut
275,9,009 L2/3 IT PIR-ENTl Glut
222,9,009 L2/3 IT PIR-ENTl Glut
265,9,009 L2/3 IT PIR-ENTl Glut
266,9,009 L2/3 IT PIR-ENTl Glut
267,9,009 L2/3 IT PIR-ENTl Glut
292,9,009 L2/3 IT PIR-ENTl Glut
293,9,009 L2/3 IT PIR-ENTl Glut
260,9,009 L2/3 IT PIR-ENTl Glut
261,9,009 L2/3 IT PIR-ENTl Glut
262,9,009 L2/3 IT PIR-ENTl Glut
263,9,009 L2/3 IT PIR-ENTl Glut
264,9,009 L2/3 IT PIR-ENTl Glut
268,9,009 L2/3 IT PIR-ENTl Glut
144,9,009 L2/3 IT PIR-ENTl Glut
217,9,009 L2/3 IT PIR-ENTl Glut
221,9,009 L2/3 IT PIR-ENTl Glut
276,9,009 L2/3 IT PIR-ENTl Glut
270,9,009 L2/3 IT PIR-ENTl Glut
156,10,010 IT AON-TT-DP Glut
408,10,010 IT AON-TT-DP Glut
269,10,010 IT AON-TT-DP Glut
289,10,010 IT AON-TT-DP Glut
288,10,010 IT AON-TT-DP Glut
279,10,010 IT AON-TT-DP Glut
283,10,010 IT AON-TT-DP Glut
284,10,010 IT AON-TT-DP Glut
290,10,010 IT AON-TT-DP Glut
294,10,010 IT AON-TT-DP Glut
295,10,010 IT AON-TT-DP Glut
296,10,010 IT AON-TT-DP Glut
977,10,010 IT AON-TT-DP Glut
282,10,010 IT AON-TT-DP Glut
285,10,010 IT AON-TT-DP Glut
286,10,010 IT AON-TT-DP Glut
291,10,010 IT AON-TT-DP Glut
280,10,010 IT AON-TT-DP Glut
281,10,010 IT AON-TT-DP Glut
287,10,010 IT AON-TT-DP Glut
246,11,011 L2 IT ENT-po Glut
248,11,011 L2 IT ENT-po Glut
245,11,011 L2 IT ENT-po Glut
249,11,011 L2 IT ENT-po Glut
206,11,011 L2 IT ENT-po Glut
247,11,011 L2 IT ENT-po Glut
454,12,012 MEA Slc17a7 Glut
455,12,012 MEA Slc17a7 Glut
456,12,012 MEA Slc17a7 Glut
457,12,012 MEA Slc17a7 Glut
458,12,012 MEA Slc17a7 Glut
459,12,012 MEA Slc17a7 Glut
462,12,012 MEA Slc17a7 Glut
464,12,012 MEA Slc17a7 Glut
466,12,012 MEA Slc17a7 Glut
480,12,012 MEA Slc17a7 Glut
486,12,012 MEA Slc17a7 Glut
1128,12,012 MEA Slc17a7 Glut
484,12,012 MEA Slc17a7 Glut
485,12,012 MEA Slc17a7 Glut
2548,12,012 MEA Slc17a7 Glut
2561,12,012 MEA Slc17a7 Glut
259,12,012 MEA Slc17a7 Glut
488,12,012 MEA Slc17a7 Glut
161,12,012 MEA Slc17a7 Glut
483,12,012 MEA Slc17a7 Glut
