Annotation	key	cell_class	removal_reason	num_cells_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	BLOB	manual	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA					NA			none
Ex_Ebf2_Prox1_Pou4f3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	neuron		1147	0	0	0	0	0	0	0	4	73	11	1	0	1	MB|P	MB	0.811111111111111	PAG|MRN|MB	PAG	0.547945205479452	MB	MRN|PAG	MB	MRN	90	MB	PAG	VGLUT2
Ex_Ebf2_Bmp6	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	neuron		63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Ebf2_Gpsm3_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-1-1	neuron		26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Ebf2_Gpsm3_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-0	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Defb1_Gsta2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-1	neuron		34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MB|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Defb1_Gsta2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-2	neuron		20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG|MRN	MB	MB	NA	MB	MB	VGLUT2
Ex_Defb1_Bhlhe23_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-1-0	neuron		46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG|MRN	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Ebf2_Bhlhe23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-1-1	neuron		34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG|MB	MB	MRN	NA	MB	MRN	VGLUT2
Ex_Prox1_Bhlhe23_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-0	neuron		68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Prox1_Bhlhe23_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-1	neuron		64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Prox1_Bhlhe23_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-0	neuron		100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Prox1_Ltbp1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-2-1	neuron		23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Zic1_Bhlhe23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-3	neuron		38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MB|PAG	MB	MB	NA	MB	MB	VGLUT2
Ex_Pax6_Pappa2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	neuron		96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Pax6_Pappa2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-1-0	neuron		54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	PAG	MB	PAG	NA	MB	PAG	VGLUT2
Ex_Pax6_Pappa2_3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-1-1	neuron		39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|PAG	MB	MRN	NA	MB	MRN	VGLUT2
Ex_Pax6_Gna14_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-1-0	neuron		86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA			NA	MB	MRN|MB|PRT	MB	MRN	NA	MB	MRN	VGLUT2
