library	region	sub_region	sub_region_tube_id	donor_id	sex	dissectate	brain_struct
pBICCNsMMrMOpAiF007d190314b	MOp	A	A	F007	female	MOp_A_A	Isocortex
pBICCNsMMrMOpAiF008d190314b	MOp	A	A	F008	female	MOp_A_A	Isocortex
pBICCNsMMrMOpAiF004d190318b	MOp	A	A	F004	female	MOp_A_A	Isocortex
pBICCNsMMrMOpAiF003d190318b	MOp	A	A	F003	female	MOp_A_A	Isocortex
pBICCNsMMrMOpAiF005d190318b	MOp	A	A	F005	female	MOp_A_A	Isocortex
pBICCNsMMrMOpAiM002d190320b	MOp	A	A	M002	male	MOp_A_A	Isocortex
pBICCNsMMrMOpAiM007d190320b	MOp	A	A	M007	male	MOp_A_A	Isocortex
pBICCNsMMrMOpAiM008d190320b	MOp	A	A	M008	male	MOp_A_A	Isocortex
pBICCNsMMrMOpAiM003d190318b	MOp	A	A	M003	male	MOp_A_A	Isocortex
pBICCNsMMrRSPAiF017d210216B2	RSP	A	A	F017	female	RSP_A_A	Isocortex
pBICCNsMMrRSPAiF017d210216A2	RSP	A	A	F017	female	RSP_A_A	Isocortex
pBICCNsMMrRSPAiF017d210216A3	RSP	A	A	F017	female	RSP_A_A	Isocortex
pBICCNsMMrACAiM016d210628A1	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiM016d210628A2	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiM016d210628A3	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiM016d210628A4	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiM016d210628A5	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiM016d210628A6	ACA	ACA	ACA	M016	male	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A1	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A2	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A3	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A4	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A5	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrACAiF019d210630A6	ACA	ACA	ACA	F019	female	ACA_ACA_ACA	Isocortex
pBICCNsMMrAMYiF015d210607A1	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiF015d210607A2	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiF015d210607A3	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiF015d210607A4	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiF015d210607A5	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiF015d210607A6	AMY	AMY	AMY	F015	female	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A1	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A2	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A3	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A4	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A5	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrAMYiM022d210714A6	AMY	AMY	AMY	M022	male	AMY_AMY_AMY	CTXsp
pBICCNsMMrCBAN1iM006d190124	CB	AN1	AN1	M006	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iF002d190304b	CB	AN1	AN1	F002	female	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iF002d190304c	CB	AN1	AN1	F002	female	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iM002d190312a	CB	AN1	AN1	M002	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iM002d190312b	CB	AN1	AN1	M002	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iM002d190312c	CB	AN1	AN1	M002	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iM006d190321a	CB	AN1	AN1	M006	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN1iM006d190321b	CB	AN1	AN1	M006	male	CB_AN1_AN1	CB
pBICCNsMMrCBAN2iM006d190124	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iF002d190304a	CB	AN2	AN2	F002	female	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iF002d190304b	CB	AN2	AN2	F002	female	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iF002d190304c	CB	AN2	AN2	F002	female	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM002d190312a	CB	AN2	AN2	M002	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM002d190312b	CB	AN2	AN2	M002	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM002d190312c	CB	AN2	AN2	M002	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM006d190321a	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM006d190321b	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM006d190321c	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM006d190321d	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCBAN2iM006d190321e	CB	AN2	AN2	M006	male	CB_AN2_AN2	CB
pBICCNsMMrCTXANGiF021d210525C1	CTX	ANG	ANG	F021	female	CTX_ANG_ANG	Isocortex
pBICCNsMMrCTXANGiF021d210525C2	CTX	ANG	ANG	F021	female	CTX_ANG_ANG	Isocortex
pBICCNsMMrCTXANGiM022d210602C1	CTX	ANG	ANG	M022	male	CTX_ANG_ANG	Isocortex
pBICCNsMMrCTXANGiM022d210602C2	CTX	ANG	ANG	M022	male	CTX_ANG_ANG	Isocortex
pBICCNsMMrCTXANGiF022d210610C1	CTX	ANG	ANG	F022	female	CTX_ANG_ANG	Isocortex
pBICCNsMMrCTXANGiF022d210610C2	CTX	ANG	ANG	F022	female	CTX_ANG_ANG	Isocortex
pBICCNsMMrAUDiF022d210715A1	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiF022d210715A2	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiF022d210715A3	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiF022d210715A4	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiF022d210715A5	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiF022d210715A6	AUD	AUD	AUD	F022	female	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A1	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A2	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A3	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A4	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A5	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrAUDiM015d210707A6	AUD	AUD	AUD	M015	male	AUD_AUD_AUD	Isocortex
pBICCNsMMrHPFCA1iF014d210217	HPF	CA1	CA1	F014	female	HPF_CA1_CA1	HPF
pBICCNsMMrHPFCA1iM017d210223	HPF	CA1	CA1	M017	male	HPF_CA1_CA1	HPF
pBICCNsMMrHPFCA2iF014d210217	HPF	CA2	CA2	F014	female	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA2iM017d210223	HPF	CA2	CA2	M017	male	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA2CA3iF014d210217A1	HPF	CA2CA3	CA2CA31	F014	female	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA2CA3iF014d210217A2	HPF	CA2CA3	CA2CA32	F014	female	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA2CA3iM017d210223A1	HPF	CA2CA3	CA2CA3	M017	male	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA2CA3iM017d210223A2	HPF	CA2CA3	CA2CA3	M017	male	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA3iF014d210217	HPF	CA3	CA3	F014	female	HPF_CA2_CA2	HPF
pBICCNsMMrHPFCA3iM017d210223	HPF	CA3	CA3	M017	male	HPF_CA2_CA2	HPF
pBICCNsMMrCBCOPiM002d190312a	CB	COP	COP	M002	male	CB_COP_COP	CB
pBICCNsMMrCBCOPiM002d190312b	CB	COP	COP	M002	male	CB_COP_COP	CB
pBICCNsMMrCBCOPiM002d190312c	CB	COP	COP	M002	male	CB_COP_COP	CB
pBICCNsMMrCBCOPiM002d190312d	CB	COP	COP	M002	male	CB_COP_COP	CB
pBICCNsMMrCBCOPiF002d190304a	CB	COP	COP	F002	female	CB_COP_COP	CB
pBICCNsMMrCBCOPiF002d190304b	CB	COP	COP	F002	female	CB_COP_COP	CB
pBICCNsMMrCBCOPiM006d190313	CB	COP	COP	M006	male	CB_COP_COP	CB
pBICCNsMMrSTRdCPiF015d210126	STRd	CP	CP	F015	female	STRd_CP_CP	STR
pBICCNsMMrSTRdCPiM016d210128	STRd	CP	CP	M016	male	STRd_CP_CP	STR
pBICCNsMMrSTRdCPiM017d210203	STRd	CP	CP	M017	male	STRd_CP_CP	STR
pBICCNsMMrSTRdCPiM015d210204	STRd	CP	CP	M015	male	STRd_CP_CP	STR
pBICCNsMMrSTRdCPiF017d210209	STRd	CP	CP	F017	female	STRd_CP_CP	STR
pBICCNsMMrSTRdCPiF014d210211	STRd	CP	CP	F014	female	STRd_CP_CP	STR
pBICCNsMMrCBCULiM006d190313b	CB	CUL	CUL	M006	male	CB_IV_IV	CB
pBICCNsMMrDCNF1iF001d191118	DCN	DCN		F001	female	DCN_DCN	CB
pBICCNsMMrDCNF2iF002d191118	DCN	DCN		F002	female	DCN_DCN	CB
pBICCNsMMrDCNF3iF003d191118	DCN	DCN		F003	female	DCN_DCN	CB
pBICCNsMMrDCNM3iM003d191118	DCN	DCN		M003	male	DCN_DCN	CB
pBICCNsMMrDCNM4iM004d191118	DCN	DCN		M004	male	DCN_DCN	CB
pBICCNsMMrDCNM2iM011d200729	DCN	DCN	M2	M011	male	DCN_DCN	CB
pBICCNsMMrCBDECiF002d190304a	CB	DEC	DEC	F002	female	CB_VI_VI	CB
pBICCNsMMrCBDECiF002d190304b	CB	DEC	DEC	F002	female	CB_VI_VI	CB
pBICCNsMMrCBDECiF002d190304c	CB	DEC	DEC	F002	female	CB_VI_VI	CB
pBICCNsMMrCBDECiM006d190313a	CB	DEC	DEC	M006	male	CB_VI_VI	CB
pBICCNsMMrCBDECiM006d190313b	CB	DEC	DEC	M006	male	CB_VI_VI	CB
pBICCNsMMrCBDECiM006d190313c	CB	DEC	DEC	M006	male	CB_VI_VI	CB
pBICCNsMMrHPFDG1iF014d210217	HPF	DG1	DG1	F014	female	HPF_DG1_DG1	HPF
pBICCNsMMrHPFDG1iM017d210223	HPF	DG1	DG1	M017	male	HPF_DG1_DG1	HPF
pBICCNsMMrHPFDG2iF014d210217	HPF	DG2	DG2	F014	female	HPF_DG1_DG1	HPF
pBICCNsMMrHPFDG2iM017d210223	HPF	DG2	DG2	M017	male	HPF_DG1_DG1	HPF
