Annotation	key	cell_class	removal_reason	num_cells_postQC	top_dissectate_postQC	max_pct_dissectate_postQC	top_replicate_postQC	max_pct_replicate_postQC	Isocortex	OLF	HPF	CTXsp	STR	PAL	TH	HY	MB	P	MY	CB	FB_VS_grey	Mapped_Top_TopStruct	Mapped_Max_TopStruct	Mapped_MaxTopStruct_PCT	Mapped_Top_DeepCCF	Mapped_Max_DeepCCF	Mapped_Max_DeepCCF_PCT	Imputed_Top_TopStruct	Imputed_Top_DeepCCF	Imputed_Max_TopStruct	Imputed_Max_DeepCCF	NumBeadsConfMapped	Max_TopStruct	Max_DeepCCF	NT_binary
REMOVE	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	BLOB	manual	0																															none
Ex_Ebf2_Prox1_Pou4f3	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	neuron		1147	MB_M4_M4A	41.59%	MB_M4_A_F013	10.64%	0	0	0	0	0	0	0	4	73	11	1	0	1	MB|P	MB	0.811111111111111	PAG|MRN|MB	PAG	0.547945205479452	MB	MRN|PAG	MB	MRN	90	MB	PAG	VGLUT2
Ex_Ebf2_Bmp6	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	neuron		63	MB_M4_M4A	61.90%	MB_M4_A_F011	19.05%																				MB	PAG|MB	MB	PAG		MB	PAG	VGLUT2
Ex_Ebf2_Gpsm3_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-1-1	neuron		26	MB_L3_L3	19.23%	MB_L3_F011	19.23%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Ebf2_Gpsm3_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-0	neuron		46	MB_M4_M4B	28.26%	MB_M4_B_F011	21.74%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
Ex_Defb1_Gsta2_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-1	neuron		34	MB_M4_M4A	35.29%	MB_M5_F010	20.59%																				MB	PAG|MB|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Defb1_Gsta2_2	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-0-2	neuron		20	MB_M4_M4A	40.00%	MB_M4_A_F013	20.00%																				MB	MB|PAG|MRN	MB	MB		MB	MB	VGLUT2
Ex_Defb1_Bhlhe23_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-1-0	neuron		46	MB_M4_M4B	32.61%	MB_L5_F010	15.22%																				MB	PAG|MRN	MB	PAG		MB	PAG	VGLUT2
Ex_Ebf2_Bhlhe23	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-0-1-1	neuron		34	MB_M5_M5	64.71%	MB_M5_M014	41.18%																				MB	MRN|PAG|MB	MB	MRN		MB	MRN	VGLUT2
Ex_Prox1_Bhlhe23_1	300-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-0	neuron		68	MB_M4_M4B	41.18%	MB_M4_B_F012	39.71%																				MB	PAG	MB	PAG		MB	PAG	VGLUT2
