ENSEMBL,names
ENSMUSG00000028222,Calb1
ENSMUSG00000021708,Rasgrf2
ENSMUSG00000059187,Tafa1
ENSMUSG00000022425,Enpp2
ENSMUSG00000026141,Col19a1
ENSMUSG00000036192,Rorb
ENSMUSG00000063873,Slc24a3
ENSMUSG00000096914,Galntl6
ENSMUSG00000059203,Il1rapl2
ENSMUSG00000044071,Tafa2
ENSMUSG00000024064,Galnt14
ENSMUSG00000025370,Cdh9
ENSMUSG00000034209,Rasl10a
ENSMUSG00000063434,Sorcs3
ENSMUSG00000039683,Sdk1
ENSMUSG00000026826,Nr4a2
ENSMUSG00000025089,Gfra1
ENSMUSG00000025905,Oprk1
ENSMUSG00000027966,Col11a1
ENSMUSG00000056296,Synpr
ENSMUSG00000047907,Tshz2
ENSMUSG00000046178,Nxph1
ENSMUSG00000053519,Kcnip1
ENSMUSG00000022935,Grik1
ENSMUSG00000045648,Vwc2l
ENSMUSG00000020836,Coro6
ENSMUSG00000033306,Lpp
ENSMUSG00000054477,Kcnn2
ENSMUSG00000021700,Rab3c
ENSMUSG00000029563,Foxp2
ENSMUSG00000022306,Zfpm2
ENSMUSG00000078591,Hs3st4
ENSMUSG00000025810,Nrp1
ENSMUSG00000024642,Tle4
ENSMUSG00000039714,Cplx3
ENSMUSG00000019997,Ccn2
ENSMUSG00000024236,Svil
ENSMUSG00000043556,Fbxl7
ENSMUSG00000037940,Inpp4b
ENSMUSG00000027559,Car3
ENSMUSG00000062372,Otof
ENSMUSG00000028864,Hgf
ENSMUSG00000021743,Fezf2
ENSMUSG00000027270,Lamp5
ENSMUSG00000028519,Dab1
ENSMUSG00000037492,Zmat4
ENSMUSG00000053465,Hs6st3
ENSMUSG00000048978,Nrsn1
ENSMUSG00000023927,Satb1
ENSMUSG00000038128,Camk4
ENSMUSG00000038530,Rgs4
ENSMUSG00000090223,Pcp4
ENSMUSG00000046321,Hs3st2
ENSMUSG00000079523,Tmsb10
ENSMUSG00000031841,Cdh13
ENSMUSG00000040972,Igsf21
ENSMUSG00000020524,Gria1
ENSMUSG00000070866,Zfp804a
ENSMUSG00000035131,Brinp3
ENSMUSG00000024647,Cbln2
ENSMUSG00000004151,Etv1
ENSMUSG00000067786,Nnat
ENSMUSG00000026344,Lypd1
ENSMUSG00000022762,Ncam2
ENSMUSG00000022636,Alcam
ENSMUSG00000017466,Timp2
ENSMUSG00000092094,Zfp804b
ENSMUSG00000047945,Marcksl1
ENSMUSG00000036225,Kctd1
ENSMUSG00000019889,Ptprk
ENSMUSG00000020354,Sgcd
ENSMUSG00000048915,Efna5
ENSMUSG00000058420,Syt17
ENSMUSG00000027965,Olfm3
ENSMUSG00000050663,Trhde
ENSMUSG00000026335,Pam
ENSMUSG00000037996,Slc24a2
ENSMUSG00000054162,Spock3
ENSMUSG00000036019,Tmtc2
ENSMUSG00000060534,Dcc
ENSMUSG00000039579,Grin3a
ENSMUSG00000056158,Car10
ENSMUSG00000062991,Nrg1
ENSMUSG00000050965,Prkca
ENSMUSG00000051359,Ncald
ENSMUSG00000034997,Htr2a
ENSMUSG00000026452,Syt2
ENSMUSG00000055409,Nell1
ENSMUSG00000051111,Sv2c
ENSMUSG00000039601,Rcan2
ENSMUSG00000042453,Reln
ENSMUSG00000022112,Gpc5
ENSMUSG00000028266,Lmo4
ENSMUSG00000030340,Scnn1a
ENSMUSG00000029580,Actb
ENSMUSG00000042589,Cux2
ENSMUSG00000052581,Lrrtm4
ENSMUSG00000032238,Rora
ENSMUSG00000074505,Fat3
ENSMUSG00000031561,Tenm3
ENSMUSG00000049630,C1ql3
ENSMUSG00000036095,Dgkb
ENSMUSG00000032564,Cpne4
ENSMUSG00000021730,Hcn1
ENSMUSG00000040420,Cdh18
ENSMUSG00000027669,Gnb4
ENSMUSG00000070570,Slc17a7
ENSMUSG00000070880,Gad1
ENSMUSG00000029151,Slc30a3
