Macosko_cluster,gene
Ex_Gbx2_Adam18_2,Sp9
Inh_Pax7_Hpse_2,Pde11a
Ex_Pitx2_Zbtb7c_3,Kcnq5
Inh_Gata3_Gxylt2_5,Ltk
Inh_Lhx6_Npy_3,Syt6
Inh_Pde11a_Atp2c2_2,Nrp2
Ex_Pax2_Erfl_2,Rxfp2
Ex_Dmrta2_Chodl_1,Dnah14
Inh_Lhx1_Dlk1_2,Cntnap5b
Ex_Plekhg1_Fign_Ppp1r3a_2,Ppp1r3a
Inh_Sp8_Ctsc_3,Sox3
Ex_Sim1_Ghrh_3,Gulp1
Ex_Vsx2_Pgm5_2,Adam34
Inh_Six6_Vipr2_6,C1ql3
Inh_Pax7_P2ry10b_3,Gpr174
Ex_Tlx1_Crocc2_2,Jag1
Ex_Lhx3_Tspo2_1,Lhx3
Ex_Slc30a3_Ssmem1_1,Igfn1
Ex_Fezf2_Hmga2_Gfra2,Fstl5
Inh_Onecut1_Slc16a12,Mecom
Ex_Phox2b_Adam33_3,Shox2
Ex_Pou4f1_Meis1_2,Rxfp1
Inh_Dmbx1_Tacr3_3,Dmbx1
Ex_Pou4f1_6430628N08Rik,Bnc2
Inh_Gata3_Gda_1,Lypd6
Endo_Flt1_Ssu2_1,Fabp4
Ex_Hoxb5_Prdm16_2,Scube2
Inh_Pax8_Agtr1a,Map3k15
Ex_Foxb1_Arhgef38_5,Tspan18
Inh_Pax2_Vgll3_9,Dach2
Inh_Sox8_Calcrl_9,Pax6
Inh_Gata3_Nptx2_1,Clrn1
Inh_Pax2_Erfl_9,Lrp2
Inh_Pax2_Tmem215_2,Fmod
Ex_Nkx2-4_Celsr1,Nkx2-4
Ex_Ebf2_Npffr2_3,Col11a1
Ex_Vsx2_Tecta_2,Serf2
Inh_Ppp1r1b_Drd1_Adamtsl5,Rgs10
Ex_Fam163a_Vip,Ptprk
Inh_Pax6_Nkx2-2_2,Nkx2-2
Ex_Nkx6-1_Foxd3_2,Sulf1
Ex_Hoxb3_Ldlrap1_10,Ebf1
Inh_Dlx1_Dock5_2,Ptgds
Ex_Phox2b_Slitrk6,Sema3e
Astro_Fabp7_Siah3,Otc
Inh_Sall3_Chrne,Cpa6
Inh_Dmrt3_Mecom_1,Mecom
Ex_Lmx1a_Grpr,C1ql3
Ex_Nkx2-4_Calcr_3,Zeb2
Ex_Lmx1a_Cbln2_2,Lmx1a
Ex_Sim1_Adam33_1,Sema3d
Ex_Ebf2_Prokr1_1,Mcub
Inh_Lhx6_Arhgap28_3,Lhx6
Ex_Tfap2b_Rxfp2_3,Gadl1
Inh_Nkx2-2_Efhb_1,Hmcn1
Ex_Ebf2_Nek11_2,Npl
Ex_Ccn3_Fezf2_Dcn_2,4930470P17Rik
Ex_Fezf2_Tmem255b_1,Cox5b
Ex_C1ql4_Tgm6_2,Met
Ex_Lhx9_Atp8b1_3,Cytip
Ex_Tfap2d_Emid1_3,Shox2
Inh_Foxp2_Btc_2,Tnc
Ex_Ebf2_Dmrt2,Gask1b
Ex_Vsx2_Pgm5_7,C1ql2
Ex_Sox6_Rbm47,Nr5a2
Ex_Foxd3_Olig3_1,Nppc
Ex_Pitx2_Dnah8,Sulf1
Inh_Hmcn1_Sycp2l_3,A830018L16Rik
Inh_Onecut3_Catspere1_2,Pth2r
Inh_Gbx1_Fads2b,Dlx1
Inh_Lhx1_Mecom_Otx1_1,Mecom
Inh_Pax3_Vmn1r207_10,Antxr2
Ex_Nxph4_Moxd1_Igfbp4,Arhgap25
Ex_Slc30a3_Gsta2_5,Gsta3
Inh_Pax2_Vgll3_1,Fign
Inh_Foxp2_Olfm4_1,Gad1
Ex_Lmx1b_Teddm3,Tmem100
Inh_Pax5_Tmem176b_2,Postn
Inh_Pax2_Dmrt3_4,Hoxd4
Inh_Emx2_Foxa2_2,Cpa6
CholEx_Irx2_Slc43a3_1,Lamc3
Inh_Nkx2-2_Npy_3,Nkx2-2
Ex_Plekhg1_Tspear_C6_2,Thsd7b
Inh_Nkx2-2_Il20ra,Tmem132d
Ex_Pou4f2_Sult3a2_9,Cck
Inh_Pax6_Eya4_3,1700019D03Rik
Ex_Abi3bp_Pnmt,Fhl2
Inh_Pax5_Trh_L3mbtl4,Trh
OPC_Cspg5,Neu4
Ex_Irx2_Cldn23,Rpl39
Ex_Fam163a_C1ql2,Aox3
