,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
ENSMUSG00000051951,True,3221.0,8.47595083329862,213.53044070187156,1.351951789169867,2
ENSMUSG00000025900,True,3870.5,0.008534991536367113,0.02260323139996606,1.5140091290842244,2
ENSMUSG00000025902,True,1523.0,0.027601123372123407,0.13842389158738885,2.26167869130394,2
ENSMUSG00000033845,True,14825.0,0.3231442727524037,0.43552056846445986,0.7805780467300714,2
ENSMUSG00000025903,True,13784.5,0.3000231235160241,0.5604039533740001,0.8350648596603447,2
ENSMUSG00000033813,True,17731.0,1.0442620071874609,2.3783531745312905,0.7204210792536376,2
ENSMUSG00000002459,True,1547.5,1.3185051321424919,11.081064591842017,2.1387734442090585,2
ENSMUSG00000033793,True,11092.0,1.2572042651408144,3.474645063897567,0.8645055358088303,2
ENSMUSG00000025905,True,1888.5,0.12116107031820987,0.5922243162522389,2.2412996043303046,2
ENSMUSG00000033774,True,8454.0,0.0072181108489762225,0.01361385112131513,0.9806801128822713,2
ENSMUSG00000025907,True,18501.5,1.8355413884902168,6.037360763745047,0.6864736598775556,2
ENSMUSG00000087247,True,3193.5,0.006910901802924214,0.015917052866779188,1.3604025343001551,2
ENSMUSG00000033740,True,624.0,2.8186897415846497,77.53332854597996,4.7041064630058465,2
ENSMUSG00000051285,True,19807.5,2.1827508037611096,8.248576765201559,0.6466419542304853,2
ENSMUSG00000025909,True,4152.0,7.675757537745531,164.6964253667957,1.1937780457630496,2
ENSMUSG00000061024,True,17156.5,0.17245539551862946,0.20391447971167775,0.7362356311303409,2
ENSMUSG00000025911,True,4673.0,0.12668645458986408,0.22615188510944087,1.1090290249069303,2
ENSMUSG00000067879,True,1116.0,1.4407720840228575,23.143068536130592,2.6214670685687,2
ENSMUSG00000025912,True,15164.0,0.04549321015938895,0.05874735203384911,0.7697334246334315,2
ENSMUSG00000045210,True,13988.0,0.654325919923051,1.3626680357508096,0.7998777360419091,2
ENSMUSG00000025915,True,2668.5,0.6429243934396431,2.0768386083503447,1.520172504782221,2
ENSMUSG00000046101,True,9474.0,0.1686182409276293,0.2384168421402638,0.8893159820019827,2
ENSMUSG00000099032,True,2385.5,0.00283328157957519,0.009884199639564438,2.25876461953518,2
ENSMUSG00000025916,True,13835.0,0.01935440658004855,0.025617236039392473,0.7954170682407595,2
ENSMUSG00000025917,True,16281.5,0.6351306798171704,1.0267906784164544,0.7644820362203182,2
ENSMUSG00000056763,True,17038.5,1.5858353435250367,4.521861473864009,0.7483360641304746,2
ENSMUSG00000067851,True,18697.5,1.5286762366939195,4.1923849681237275,0.706807411426122,2
ENSMUSG00000042501,True,112.0,0.3735917613066183,7.574690650981436,10.605670955651231,2
ENSMUSG00000048960,True,612.0,1.0604442081864347,11.510809169526588,3.694386058010641,2
ENSMUSG00000057715,True,1365.5,2.826885572440745,41.9316465869607,2.2642258838857234,2
ENSMUSG00000016918,True,603.5,0.4118518315150092,3.330029361762667,3.7589912613738328,2
ENSMUSG00000025938,True,2818.0,0.09605690799065403,0.23223905308902287,1.4557789782967911,2
ENSMUSG00000042414,True,10076.0,0.0006558368772034794,0.0007621489715568339,0.8807646218351559,2
ENSMUSG00000005886,True,19467.5,2.3022066035270816,8.00796217479747,0.6413001454452002,2
ENSMUSG00000025935,True,14951.0,0.3710869898625748,0.542481609454513,0.7808043305213046,2
ENSMUSG00000025937,True,8499.5,0.2747529310299124,0.42733268011989256,0.9226071032141486,2
ENSMUSG00000067813,True,9630.5,0.00041466120853861274,0.00046395518287227483,0.8956422176320904,2
ENSMUSG00000025932,True,1340.5,0.20470832181496643,0.7529827329659933,2.2833850688068056,2
ENSMUSG00000025930,True,19448.0,0.020618981258828117,0.02304913430366752,0.6818400687764636,2
ENSMUSG00000032769,True,6105.0,0.003651716773140557,0.005338209309951649,1.017370598955462,2
ENSMUSG00000092083,True,2182.5,6.961097938622568,185.89700526866622,1.6979059588022265,2
ENSMUSG00000025925,True,15124.5,0.5554486293458956,0.8835365412574585,0.7912686264446727,2
ENSMUSG00000032719,True,15409.0,0.022526375482351337,0.027775442269417455,0.7724401407594172,2
ENSMUSG00000067795,True,11314.0,0.06429674689761465,0.09367616375757104,0.8467513656921923,2
ENSMUSG00000043716,True,14483.0,2.5792561470210664,13.642991722409695,0.6803912564351899,2
ENSMUSG00000025921,True,13680.0,0.15024510453628,0.19209975778758864,0.7970873217152554,2
ENSMUSG00000025920,True,6316.0,2.6829905593571426,17.349798135261565,1.0243925660989057,2
ENSMUSG00000025939,True,19466.5,1.6773706219160756,4.805520153229824,0.69192353791745,2
ENSMUSG00000079658,True,15881.0,1.2391079245733154,3.7993189783482277,0.7376342006624843,2
