Zeng_cl,gene
128,Synpr
128,Lgr5
128,Nr4a2
129,Slc17a7
129,Car3
130,Car3
130,Satb2
130,Ccbe1
143,Rxfp1
143,Car3
143,Tspan11
131,Egr2
116,Gria1
116,Plpp4
116,C1ql3
116,Tpbgl
120,Scube2
120,Gpr88
120,Npsr1
121,Satb2
121,Npsr1
121,Klf5
122,Npsr1
122,Cdhr1
125,Osr1
125,Lcp1
125,Vwc2l
125,Lepr
126,C1ql3
126,Lpl
126,Zfhx4
126,Nr4a2
127,Ctsc
127,Fst
117,Sfrp2
118,Rab38
118,Chst9
119,Osr1
119,Egr2
119,Onecut1
148,Egr2
148,Rorb
148,Adgrd1
148,Ccdc80
148,Npsr1
149,Osr1
149,Tpbgl
149,Npsr1
159,Zan
159,Col14a1
160,Adarb2
160,Pparg
160,Bace2
162,Col14a1
162,Egr2
123,Blnk
123,Medag
123,Ntn4
123,Igf1
97,Tmem40
97,Inhbb
97,Trdn
115,Satb2
115,Dcn
165,Sfrp1
165,Dcn
111,Il1rapl2
111,Met
111,Gxylt2
111,C1ql3
111,Bmpr1b
147,Fibcd1
147,Dcn
158,Drd1
158,Pamr1
114,Satb2
114,Crispld2
114,Chst9
145,Fibcd1
145,Kirrel3
145,Dcn
146,Trhr
146,Susd5
146,Tnxb
146,Met
155,Osr1
155,Esr2
155,Dcn
101,Osr1
101,Dpp10
101,Cntnap3
103,Rxfp1
103,Npy2r
103,Ccdc3
103,Blnk
104,Rab38
104,Ccdc3
104,Cpne7
104,Rxfp1
104,Osr1
113,Ccdc3
113,Pcdh15
113,Npy
138,Il1rapl2
138,Met
138,Adamts2
138,Osr1
138,Cck
138,Arhgap25
105,Colq
105,Egr3
105,Penk
108,Igfbp6
108,Hspb3
108,Robo3
108,Rspo1
108,Stxbp6
139,Plekha2
139,Slc30a3
139,Syndig1
139,Pou6f2
139,Inpp4b
139,Sulf1
139,Blnk
139,Megf11
140,Osr1
140,Chn2
140,Satb2
140,Rgs8
141,Blnk
141,Galnt14
141,Pld5
142,Pou3f1
142,C1ql3
142,Chn2
142,Pld5
106,Fign
106,Il1rapl2
106,Susd5
106,Dkkl1
106,Fst
107,Drd1
107,Slc30a3
107,Fst
132,Sema3e
132,Fst
132,Opn3
132,Cck
133,Il1rapl2
133,Robo3
133,Fst
133,Tmem215
134,Satb2
134,Fst
134,Lgr5
134,Plekha2
112,Npy2r
112,Drd1
112,Rrad
135,Osr1
135,Met
136,Tnfaip6
136,Il1rapl2
136,Fst
137,Tnfaip6
137,Adgrd1
137,Pde7b
109,Rxfp1
109,Tll2
109,Scn4b
110,Ccn4
110,Il1rapl2
110,Gpc6
110,Adamts18
110,Blnk
110,Rprm
98,Tcap
98,Colq
98,Sema3d
98,Cbln2
99,Rxfp1
99,Colq
99,Col15a1
99,Inhba
99,Egr3
100,Sema3d
100,Otx1
191,Egfem1
191,Egln3
191,Il1rapl2
191,Ramp3
191,Dkkl1
191,Ptprd
191,Gpr88
191,Blnk
191,Arhgap25
203,Il1rapl2
203,Prkch
203,Prlr
202,Tcerg1l
202,Zfp804b
202,Nrn1
192,Cdh20
192,Il1rapl2
192,Rxfp2
192,Myl4
192,Necab1
192,Bmpr1b
192,Cntnap5a
192,Arhgap25
193,Col6a1
193,Cdh20
193,Tox2
193,Dkkl1
193,Colq
193,Myl4
204,Vwc2l
169,Rorb
169,Kcnj16
169,Ccdc80
169,Gpr88
169,Myl4
102,Cd24a
102,Dkk2
102,Cck
102,Chst9
164,Slc17a7
164,Susd5
164,St8sia2
164,Met
166,Ankfn1
166,Il1rapl2
166,Ccdc80
166,Endou
168,Il1rapl2
168,Ccdc3
168,Tcerg1l
168,Ccdc80
168,Dkkl1
174,Vav3
174,Rspo1
174,Met
174,Rgs8
175,Shroom3
175,Met
175,Kcnh5
175,Nell1
175,Dkkl1
