Study_ID|Celltype_1,Study_ID|Celltype_2
Macosko|Astro_Emid1_Cd38,Zeng|14862
Macosko|Astro_Emid1_Gdf10,Zeng|14873
Macosko|Astro_Fabp7_Hs3st3a1_2,Zeng|14953
Macosko|Astro_Fabp7_Wt1,Zeng|14886
Macosko|CholEx_Fbxl7_Defa24,Zeng|4050
Macosko|CholEx_Hoxb5_Prdm16_1,Zeng|3628
Macosko|CholEx_Lhx9_Evx2_Crabp1,Zeng|24678
Macosko|CholEx_Tcf24_Oxtr,Zeng|2670
Macosko|CholInh_Ecel1_Ghrh_2,Zeng|2052
Macosko|CholInh_Ecel1_Nid1,Zeng|571
Macosko|Chol_Ecel1_Gm7271,Zeng|584
Macosko|DopEx_Calb1_Aqp1,Zeng|2396
Macosko|DopEx_Calb1_Col6a5,Zeng|2400
Macosko|DopEx_Calb1_Lpl_1,Zeng|2413
Macosko|DopEx_Calb1_Npw_2,Zeng|2397
Macosko|DopEx_Calb1_Trpv1,Zeng|2402
Macosko|Endo_Flt1_Acta2_Olfr558_3,Zeng|5249
Macosko|Endo_Flt1_Kcnj8,Zeng|5243
Macosko|Endo_Flt1_Rgs5_Slc19a3_1,Zeng|5255
Macosko|ExInh_Lmx1b_Met,Zeng|2420
Macosko|Ex_Abi3bp_Hcrtr2,Zeng|977
Macosko|Ex_Abi3bp_Insyn2b,Zeng|292
Macosko|Ex_Abi3bp_Pnmt,Zeng|296
Macosko|Ex_C1ql4_Asb4,Zeng|4968
Macosko|Ex_C1ql4_Cox6a2_1,Zeng|4695
Macosko|Ex_C1ql4_Crispld2_2,Zeng|2660
Macosko|Ex_C1ql4_Drd1_4,Zeng|2671
Macosko|Ex_C1ql4_Nostrin,Zeng|3868
Macosko|Ex_C1ql4_Teddm3_3,Zeng|4754
Macosko|Ex_C1ql4_Tnfrsf11b_1,Zeng|4718
Macosko|Ex_C1ql4_Trhr_2,Zeng|4742
Macosko|Ex_C1ql4_Trhr_7,Zeng|4744
Macosko|Ex_Ccn2_Prph,Zeng|23
Macosko|Ex_Dach2_Arhgap36_3,Zeng|4862
Macosko|Ex_Defb1_Bhlhe23_1,Zeng|4843
Macosko|Ex_Dmrta2_Cd274,Zeng|2350
Macosko|Ex_Dmrta2_Chat_2,Zeng|2356
Macosko|Ex_Dmrta2_Crhbp_4,Zeng|2354
Macosko|Ex_Dmrta2_Fn1_1,Zeng|2148
Macosko|Ex_Dmrta2_Nmu,Zeng|2150
Macosko|Ex_Dsp_Atf3_3,Zeng|1401
Macosko|Ex_Ebf2_6430628N08Rik_3,Zeng|4242
Macosko|Ex_Ebf2_Antxr2,Zeng|4743
Macosko|Ex_Ebf2_Atp8b1,Zeng|4614
Macosko|Ex_Ebf2_C1qtnf7_1,Zeng|4335
Macosko|Ex_Ebf2_Ddit4l_1,Zeng|4336
Macosko|Ex_Ebf2_Ddit4l_3,Zeng|4337
Macosko|Ex_Ebf2_Emilin2,Zeng|4230
Macosko|Ex_Ebf2_Fgfr4,Zeng|4829
Macosko|Ex_Ebf2_Fzd9_3,Zeng|8175
Macosko|Ex_Ebf2_Gask1b_1,Zeng|4330
Macosko|Ex_Ebf2_Ghrh_3,Zeng|4507
Macosko|Ex_Ebf2_Gpsm3_1,Zeng|4815
Macosko|Ex_Ebf2_Iigp1_1,Zeng|2679
Macosko|Ex_Ebf2_Ltbp1_1,Zeng|4811
Macosko|Ex_Ebf2_Mybpc1,Zeng|4823
Macosko|Ex_Ebf2_Nat8f6_2,Zeng|4345
Macosko|Ex_Ebf2_Nek11_2,Zeng|4916
Macosko|Ex_Ebf2_Npffr2_2,Zeng|4640
Macosko|Ex_Ebf2_Pla2g5_11,Zeng|4346
Macosko|Ex_Ebf2_Rxfp1,Zeng|4340
Macosko|Ex_Ebf2_Sec1_1,Zeng|4231
Macosko|Ex_Ebf2_Sec1_4,Zeng|4232
Macosko|Ex_Ebf2_Slc38a11,Zeng|4492
Macosko|Ex_Ebf2_Slc5a7,Zeng|4821
Macosko|Ex_Ebf2_Sp5_8,Zeng|4818
Macosko|Ex_Ebf2_Spef2_1,Zeng|4599
Macosko|Ex_Ebf2_Tnfaip8_5,Zeng|8163
Macosko|Ex_Ebf3_Adam33_11,Zeng|4265
Macosko|Ex_Ebf3_Adam33_7,Zeng|4258
Macosko|Ex_Emx2_Foxa2_3,Zeng|2158
Macosko|Ex_Evx1_Nptx2,Zeng|3756
Macosko|Ex_Evx2_Adamts19,Zeng|4975
Macosko|Ex_Evx2_Ngfr,Zeng|4962
Macosko|Ex_Evx2_Npsr1,Zeng|3733
Macosko|Ex_Evx2_Pdyn,Zeng|3107
Macosko|Ex_Evx2_Prdm6_1,Zeng|24666
Macosko|Ex_Evx2_Prdm6_2,Zeng|24665
Macosko|Ex_Fam163a_Npy2r,Zeng|3724
Macosko|Ex_Fbxl7_Hmga2,Zeng|3108
Macosko|Ex_Fezf2_C1qtnf7,Zeng|318
Macosko|Ex_Fezf2_Il22,Zeng|413
Macosko|Ex_Fezf2_Sebox,Zeng|75
Macosko|Ex_Fezf2_Tmem255b_2,Zeng|42
Macosko|Ex_Fibcd1_Psrc1_5,Zeng|359
Macosko|Ex_Fn1_Nts,Zeng|4683
Macosko|Ex_Foxp2_Dsc3,Zeng|312
Macosko|Ex_Gabra6_Gabrd,Zeng|5158
Macosko|Ex_Gata3_Slc17a8_1,Zeng|2857
Macosko|Ex_Gata3_Tgm6_2,Zeng|3216
Macosko|Ex_Hmx3_Has2,Zeng|4036
Macosko|Ex_Hmx3_Npbwr1,Zeng|4058
Macosko|Ex_Hmx3_Twist2_1,Zeng|2570
Macosko|Ex_Hoxc6_Hpse_2,Zeng|3824
Macosko|Ex_Hoxc6_Slc7a13_2,Zeng|3814
Macosko|Ex_Irx4_Slc17a8,Zeng|2631
Macosko|Ex_Lhx2_Frk,Zeng|3827
Macosko|Ex_Lhx2_Hgf_1,Zeng|3812
Macosko|Ex_Lhx2_Mafa,Zeng|4553
Macosko|Ex_Lhx2_Thbs2,Zeng|4178
Macosko|Ex_Lhx4_Gpr101_2,Zeng|3032
Macosko|Ex_Lhx4_Gpr101_5,Zeng|3036
Macosko|Ex_Lhx4_Vsx2_1,Zeng|3017
Macosko|Ex_Lhx4_Vsx2_2,Zeng|3028
Macosko|Ex_Lhx9_A1bg_1,Zeng|8178
Macosko|Ex_Lhx9_Atp8b1_3,Zeng|2609
Macosko|Ex_Lhx9_Dnah5,Zeng|3833
Macosko|Ex_Lhx9_Igfbpl1_2,Zeng|3835
Macosko|Ex_Lhx9_Lrrk1,Zeng|3815
Macosko|Ex_Lhx9_Nps,Zeng|2602
Macosko|Ex_Lhx9_Prdm6_1,Zeng|3823
Macosko|Ex_Lhx9_Prok2,Zeng|2605
Macosko|Ex_Lhx9_Slc26a7_2,Zeng|4856
Macosko|Ex_Lhx9_Slc38a11_6,Zeng|24690
Macosko|Ex_Lmx1a_Crhbp_5,Zeng|2377
Macosko|Ex_Lmx1a_Gngt2,Zeng|2375
Macosko|Ex_Lmx1a_Pirt,Zeng|2181
Macosko|Ex_Lmx1a_Pkd1l1,Zeng|2240
Macosko|Ex_Lmx1a_Wnt11,Zeng|2370
Macosko|Ex_Lmx1b_Adam33_2,Zeng|3797
Macosko|Ex_Lmx1b_Arsj_2,Zeng|2815
Macosko|Ex_Lmx1b_Drd1_3,Zeng|2783
Macosko|Ex_Lmx1b_Dynap_4,Zeng|4245
Macosko|Ex_Lmx1b_Dynap_5,Zeng|4243
Macosko|Ex_Lmx1b_Dytn,Zeng|24688
Macosko|Ex_Lmx1b_Itih5_1,Zeng|2772
Macosko|Ex_Lmx1b_Itih5_2,Zeng|2787
Macosko|Ex_Lmx1b_Meox2,Zeng|15081
Macosko|Ex_Lmx1b_Morc1_2,Zeng|4294
Macosko|Ex_Lmx1b_Ptgfr,Zeng|2770
Macosko|Ex_Lmx1b_Scn5a_2,Zeng|4838
Macosko|Ex_Lypd6b_Dipk1c_2,Zeng|5107
Macosko|Ex_Neurod6_Dnah11_8,Zeng|4733
Macosko|Ex_Nkx2-1_Nppb,Zeng|2826
Macosko|Ex_Nkx2-1_Otp_2,Zeng|24658
Macosko|Ex_Nkx6-1_Atp6v1c2,Zeng|2149
Macosko|Ex_Nkx6-1_Vsx2_1,Zeng|3029
Macosko|Ex_Nkx6-1_Vsx2_2,Zeng|3086
Macosko|Ex_Nxph4_Arhgap36,Zeng|4474
Macosko|Ex_Nxph4_Hpgd,Zeng|4572
Macosko|Ex_Nxph4_Krt73,Zeng|4757
Macosko|Ex_Nxph4_Zar1l_4,Zeng|4575
Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,Zeng|3847
Macosko|Ex_Onecut3_Spag16_3,Zeng|1605
Macosko|Ex_Pax2_Erfl_2,Zeng|24598
Macosko|Ex_Pax2_Mafb_2,Zeng|24597
Macosko|Ex_Pax5_Ggta1_2,Zeng|4283
Macosko|Ex_Pax5_Gng8,Zeng|2621
Macosko|Ex_Pax5_Lnp1_1,Zeng|4271
Macosko|Ex_Pax5_Npbwr1,Zeng|4267
Macosko|Ex_Pax6_Avpr1a_6,Zeng|24561
Macosko|Ex_Pax6_Qrfprl_2,Zeng|4701
Macosko|Ex_Pax8_Sfrp1,Zeng|24416
Macosko|Ex_Pax8_Tnfrsf8,Zeng|3063
Macosko|Ex_Phox2_4930469K13Rik,Zeng|3884
Macosko|Ex_Phox2a_Cyp26b1_1,Zeng|3939
Macosko|Ex_Phox2a_Cyp26b1_2,Zeng|3938
Macosko|Ex_Phox2a_Qrfpr,Zeng|3956
Macosko|Ex_Phox2b_Abcc6,Zeng|3947
Macosko|Ex_Phox2b_Adam33_2,Zeng|3909
Macosko|Ex_Phox2b_Bmp3_3,Zeng|4263
Macosko|Ex_Phox2b_Clca3a2,Zeng|3949
Macosko|Ex_Phox2b_Dbh_5,Zeng|3958
Macosko|Ex_Phox2b_Ddit4l,Zeng|3882
Macosko|Ex_Phox2b_Dkk2_3,Zeng|3943
Macosko|Ex_Phox2b_Dpy19l2,Zeng|3920
Macosko|Ex_Phox2b_Gch1,Zeng|3961
