cluster	class	subclass	level1_anno	level2_anno	dataset
Zeng|128	IT-ET Glut	CLA-EPd-CTX Car3 Glut	Neuron	ExN	Zeng
Zeng|129	IT-ET Glut	CLA-EPd-CTX Car3 Glut	Neuron	ExN	Zeng
Zeng|130	IT-ET Glut	CLA-EPd-CTX Car3 Glut	Neuron	ExN	Zeng
Zeng|143	IT-ET Glut	CLA-EPd-CTX Car3 Glut	Neuron	ExN	Zeng
Zeng|131	IT-ET Glut	CLA-EPd-CTX Car3 Glut	Neuron	ExN	Zeng
Zeng|116	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|120	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|121	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|122	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|125	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|126	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|127	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|117	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|118	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|119	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|148	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|149	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|159	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|160	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|162	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|123	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|124	IT-ET Glut	IT EP-CLA Glut	Neuron	ExN	Zeng
Zeng|97	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|115	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|165	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|111	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|147	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|158	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|114	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|145	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|146	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|155	IT-ET Glut	L5/6 IT TPE-ENT Glut	Neuron	ExN	Zeng
Zeng|101	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|103	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|104	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|113	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|138	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|105	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|108	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|139	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|140	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|141	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|142	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|106	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|107	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|132	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|133	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|134	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|112	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|135	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|136	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|137	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|109	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|110	IT-ET Glut	L6 IT CTX Glut	Neuron	ExN	Zeng
Zeng|98	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|99	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|100	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|191	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|203	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|202	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|192	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|193	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|204	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|169	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|102	IT-ET Glut	L5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|164	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|166	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|168	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|174	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|175	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|176	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|182	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|190	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|198	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|178	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|179	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|180	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|177	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|184	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|186	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|187	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|205	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|152	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|163	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|167	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
Zeng|170	IT-ET Glut	L4/5 IT CTX Glut	Neuron	ExN	Zeng
