study_id,species,cluster,level1_anno,level2_anno,count,celltype
Tosches,turtle,e01,Neuron,ExN,71,Tosches_turtle|e01
Tosches,turtle,e02,Neuron,ExN,492,Tosches_turtle|e02
Tosches,turtle,e03,Neuron,ExN,104,Tosches_turtle|e03
Tosches,turtle,e04,Neuron,ExN,73,Tosches_turtle|e04
Tosches,turtle,e05,Neuron,ExN,134,Tosches_turtle|e05
Tosches,turtle,e06,Neuron,ExN,58,Tosches_turtle|e06
Tosches,turtle,e07,Neuron,ExN,48,Tosches_turtle|e07
Tosches,turtle,e08,Neuron,ExN,39,Tosches_turtle|e08
Tosches,turtle,e09,Neuron,ExN,28,Tosches_turtle|e09
Tosches,turtle,e10,Neuron,ExN,66,Tosches_turtle|e10
Tosches,turtle,e11,Neuron,ExN,123,Tosches_turtle|e11
Tosches,turtle,e12,Neuron,ExN,98,Tosches_turtle|e12
Tosches,turtle,e13,Neuron,ExN,169,Tosches_turtle|e13
Tosches,turtle,e14,Neuron,ExN,166,Tosches_turtle|e14
Tosches,turtle,e15,Neuron,ExN,116,Tosches_turtle|e15
Tosches,turtle,e16,Neuron,ExN,105,Tosches_turtle|e16
Tosches,turtle,e17,Neuron,ExN,479,Tosches_turtle|e17
Tosches,turtle,e18,Neuron,ExN,327,Tosches_turtle|e18
Tosches,turtle,e19,Neuron,ExN,718,Tosches_turtle|e19
Tosches,turtle,e20,Neuron,ExN,65,Tosches_turtle|e20
Tosches,turtle,e21,Neuron,ExN,84,Tosches_turtle|e21
Tosches,turtle,e22,Neuron,ExN,66,Tosches_turtle|e22
Tosches,turtle,e23,Neuron,ExN,53,Tosches_turtle|e23
Tosches,turtle,e24,Neuron,ExN,110,Tosches_turtle|e24
Tosches,turtle,e25,Neuron,ExN,79,Tosches_turtle|e25
Tosches,turtle,e26,Neuron,ExN,49,Tosches_turtle|e26
Tosches,turtle,e27,Neuron,ExN,121,Tosches_turtle|e27
Tosches,turtle,e28,Neuron,ExN,82,Tosches_turtle|e28
Tosches,turtle,e29,Neuron,ExN,68,Tosches_turtle|e29
Tosches,turtle,e30,Neuron,ExN,105,Tosches_turtle|e30
Tosches,turtle,e31,Neuron,ExN,99,Tosches_turtle|e31
Tosches,turtle,e32,Neuron,ExN,80,Tosches_turtle|e32
Tosches,turtle,e33,Neuron,ExN,60,Tosches_turtle|e33
Tosches,turtle,e34,Neuron,ExN,59,Tosches_turtle|e34
Tosches,turtle,e35,Neuron,ExN,84,Tosches_turtle|e35
Tosches,turtle,e36,Neuron,ExN,102,Tosches_turtle|e36
Tosches,turtle,e37,Neuron,ExN,106,Tosches_turtle|e37
Tosches,turtle,e38,Neuron,ExN,70,Tosches_turtle|e38
Tosches,turtle,i01,Neuron,LGE InN,33,Tosches_turtle|i01
Tosches,turtle,i02,Neuron,septum InN,49,Tosches_turtle|i02
Tosches,turtle,i03,Neuron,septum InN,25,Tosches_turtle|i03
Tosches,turtle,i04,Neuron,LGE InN,41,Tosches_turtle|i04
Tosches,turtle,i05,Neuron,LGE InN,67,Tosches_turtle|i05
Tosches,turtle,i06,Neuron,LGE InN,57,Tosches_turtle|i06
Tosches,turtle,i07,Neuron,MGE InN,8,Tosches_turtle|i07
Tosches,turtle,i08,Neuron,MGE InN,34,Tosches_turtle|i08
Tosches,turtle,i09,Neuron,MGE InN,47,Tosches_turtle|i09
Tosches,turtle,i10,Neuron,MGE InN,36,Tosches_turtle|i10
Tosches,turtle,i11,Neuron,MGE InN,26,Tosches_turtle|i11
Tosches,turtle,i12,Neuron,MGE InN,39,Tosches_turtle|i12
Tosches,turtle,i13,Neuron,MGE InN,23,Tosches_turtle|i13
Tosches,turtle,i14,Neuron,CGE InN,31,Tosches_turtle|i14
Tosches,turtle,i15,Neuron,CGE InN,35,Tosches_turtle|i15
Tosches,turtle,i16,Neuron,CGE InN,34,Tosches_turtle|i16
Tosches,turtle,i17,Neuron,CGE InN,36,Tosches_turtle|i17
Tosches,turtle,i18,Neuron,CGE InN,19,Tosches_turtle|i18
Tosches,turtle,tsEG,Non-neuron,Ependymal,6514,Tosches_turtle|tsEG
Tosches,turtle,tsExc1,Neuron,ExN,103,Tosches_turtle|tsExc1
Tosches,turtle,tsExc2,Neuron,ExN,366,Tosches_turtle|tsExc2
Tosches,turtle,tsExc3,Neuron,ExN,326,Tosches_turtle|tsExc3
Tosches,turtle,tsExc4,Neuron,ExN,877,Tosches_turtle|tsExc4
