target_study,species,target_celltype,target_size,ref_celltype,AUROC,is_recip
Tosches_turtle,turtle,Tosches_turtle|e01,71,Macosko|Ex_Ebf2_Tnfaip8_2,0.982515941080494,FALSE
Tosches_turtle,turtle,Tosches_turtle|e02,492,Macosko|Ex_Gabra6_Optc,0.916763858113462,TRUE
Tosches_turtle,turtle,Tosches_turtle|e03,104,Macosko|Ex_Rorb_Dnah14,0.916886316635791,TRUE
Tosches_turtle,turtle,Tosches_turtle|e04,73,Macosko|Ex_Slc30a3_Teddm3_1,0.960363715134511,FALSE
Tosches_turtle,turtle,Tosches_turtle|e05,134,Macosko|Ex_Fezf2_Pirt_Stum,0.926340855218806,TRUE
Tosches_turtle,turtle,Tosches_turtle|e06,58,Macosko|Ex_Rorb_Rxfp2,0.943307394510409,TRUE
Tosches_turtle,turtle,Tosches_turtle|e07,48,Macosko|Ex_Fezf2_Cfap58_1,0.974209280048701,TRUE
Tosches_turtle,turtle,Tosches_turtle|e08,39,Macosko|Ex_Fezf2_Pvalb_Pirt,0.974946793426338,TRUE
Tosches_turtle,turtle,Tosches_turtle|e09,28,Macosko|Ex_Abi3bp_Insyn2b,0.941083022252202,TRUE
Tosches_turtle,turtle,Tosches_turtle|e10,66,Macosko|Ex_Iqcj_Ms4a15_4,0.971786524853894,FALSE
Tosches_turtle,turtle,Tosches_turtle|e11,123,Macosko|Ex_Iqcj_Ms4a15_5,0.939437865956699,FALSE
Tosches_turtle,turtle,Tosches_turtle|e12,98,Macosko|Ex_Sim1_Cartpt,0.956019732177893,TRUE
Tosches_turtle,turtle,Tosches_turtle|e13,169,Macosko|Ex_Slc30a3_Shisa8_5,0.914999053049692,FALSE
Tosches_turtle,turtle,Tosches_turtle|e14,166,Macosko|Ex_Rspo1_Fos,0.936692116864669,FALSE
Tosches_turtle,turtle,Tosches_turtle|e15,116,Macosko|Ex_Rorb_Col8a1,0.917006400568113,TRUE
Tosches_turtle,turtle,Tosches_turtle|e16,105,Macosko|Ex_Fezf2_Fibcd1_Fos_Sema3e,0.945861555829228,TRUE
Tosches_turtle,turtle,Tosches_turtle|e17,479,Macosko|Ex_Evx2_Tafa3,0.894108478223286,TRUE
Tosches_turtle,turtle,Tosches_turtle|e18,327,Macosko|Inh_Ppp1r1b_Drd2_Pde1a_Myo3b,0.894478736521779,TRUE
Tosches_turtle,turtle,Tosches_turtle|e19,718,Macosko|Inh_Ppp1r1b_Drd2_Sphkap_2,0.911477046388368,FALSE
Tosches_turtle,turtle,Tosches_turtle|e20,65,Macosko|Inh_Six3_Six6_2,0.899221670802316,TRUE
