cluster,class,region,study,is_reciprocal,recip_cluster
Zeng|128,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Oprk1_Col11a1
Zeng|129,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|130,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|143,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|131,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|116,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|120,IT-ET Glut,CTXsp,Cells,TRUE,Macosko|Ex_Sulf1_Drd2
Zeng|121,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|122,IT-ET Glut,CTXsp,Cells,FALSE,NA
Zeng|125,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|126,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|127,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|117,IT-ET Glut,CTXsp,Cells,FALSE,NA
Zeng|118,IT-ET Glut,CTXsp,Cells,FALSE,NA
Zeng|119,IT-ET Glut,CTXsp,Cells,TRUE,Macosko|Ex_Sulf1_Agtr1b_Fos
Zeng|148,IT-ET Glut,OLF,Cells,FALSE,NA
Zeng|149,IT-ET Glut,CTXsp,Cells,TRUE,Macosko|Ex_Sulf1_Agtr1b
Zeng|159,IT-ET Glut,CTXsp,Cells,FALSE,NA
Zeng|160,IT-ET Glut,OLF,Cells,FALSE,NA
Zeng|162,IT-ET Glut,OLF,Cells,TRUE,Macosko|Ex_Fezf2_Fibcd1_Fos_Tnn
Zeng|123,IT-ET Glut,OLF,Cells,FALSE,NA
Zeng|124,IT-ET Glut,OLF,Cells,FALSE,NA
Zeng|97,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|115,IT-ET Glut,RHP,Cells,TRUE,Macosko|Ex_Rorb_Scn5a
Zeng|165,IT-ET Glut,RHP,Cells,TRUE,Macosko|Ex_Rorb_Fn1_Inhbb
Zeng|111,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|147,IT-ET Glut,RHP,Cells,TRUE,Macosko|Ex_Fezf2_Fibcd1_Fos_Sema3e
Zeng|158,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|114,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Dcn_Grik3
Zeng|145,IT-ET Glut,RHP,Cells,TRUE,Macosko|Ex_Rorb_Cbln1_Susd5
Zeng|146,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|155,IT-ET Glut,RHP,Cells,FALSE,NA
Zeng|101,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|103,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|104,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|113,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|138,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|105,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|108,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|139,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|140,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Slc30a3_Col6a1
Zeng|141,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Slc30a3_Sulf1_Aprk1
Zeng|142,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|106,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|107,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|132,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|133,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|134,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|112,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|135,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|136,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|137,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|109,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|110,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|98,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Dnah14
Zeng|99,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|100,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|191,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|203,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|202,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Fezf2_Rgs16
Zeng|192,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|193,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|204,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|169,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|102,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Ovol2
Zeng|164,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|166,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|168,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|174,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|175,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|176,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Naaa11_Aldh1l1
Zeng|182,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|190,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|198,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|178,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|179,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|180,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|177,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Adam33
Zeng|184,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|186,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Col8a1
Zeng|187,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|205,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|152,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|163,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Rxfp2
Zeng|167,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|170,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|172,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|173,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|153,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|154,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|181,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|197,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|199,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|194,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|171,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|185,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|196,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|195,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|201,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|188,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Rorb_Endou_2
Zeng|189,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|200,IT-ET Glut,Isocortex,Cells,TRUE,Macosko|Ex_Foxp2_C130074G19Rik_1
Zeng|237,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|239,IT-ET Glut,Isocortex,Cells,FALSE,NA
Zeng|240,IT-ET Glut,Isocortex,Cells,FALSE,NA
