cell_type,dendro_order,cell_type_short,study,study_type
Zeng|5242,1,5242,Zeng,Cells
Zeng|5240,2,5240,Zeng,Cells
Macosko|OlfactoryEnsheathing_Alx4_Prss56,3,OlfactoryEnsheathing_Alx4_Prss56,Macosko,Nuclei
Zeng|5241,4,5241,Zeng,Cells
Macosko|OlfactoryEnsheathing_Alx4_Dhh,5,OlfactoryEnsheathing_Alx4_Dhh,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Bhmt_2,6,OlfactoryEnsheathing_Alx4_Bhmt_2,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Bhmt_1,7,OlfactoryEnsheathing_Alx4_Bhmt_1,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Olfr1271_2,8,OlfactoryEnsheathing_Alx4_Olfr1271_2,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Olfr1271_1,9,OlfactoryEnsheathing_Alx4_Olfr1271_1,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Olfr1271_4,10,OlfactoryEnsheathing_Alx4_Olfr1271_4,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Olfr1271_3,11,OlfactoryEnsheathing_Alx4_Olfr1271_3,Macosko,Nuclei
Macosko|OlfactoryEnsheathing_Alx4_Gprc5c,12,OlfactoryEnsheathing_Alx4_Gprc5c,Macosko,Nuclei
Zeng|5239,13,5239,Zeng,Cells
Macosko|Micro_Selplg_Siglech,14,Micro_Selplg_Siglech,Macosko,Nuclei
Zeng|5283,15,5283,Zeng,Cells
Macosko|Macro_Mrc1_H2-Aa,16,Macro_Mrc1_H2-Aa,Macosko,Nuclei
Macosko|Macro_Mrc1_Ms4a4a,17,Macro_Mrc1_Ms4a4a,Macosko,Nuclei
Zeng|5267,18,5267,Zeng,Cells
Zeng|5268,19,5268,Zeng,Cells
Macosko|Lymphocyte_Itgal_Il1rl1,20,Lymphocyte_Itgal_Il1rl1,Macosko,Nuclei
Zeng|5272,21,5272,Zeng,Cells
Zeng|5273,22,5273,Zeng,Cells
Macosko|Lymphocyte_Itgal_Cd3e,23,Lymphocyte_Itgal_Cd3e,Macosko,Nuclei
Zeng|5274,24,5274,Zeng,Cells
Macosko|Myeloid_Sell_Cd300c,25,Myeloid_Sell_Cd300c,Macosko,Nuclei
Zeng|5275,26,5275,Zeng,Cells
Macosko|Lymphocyte_Pou2af1_Fcrl5,27,Lymphocyte_Pou2af1_Fcrl5,Macosko,Nuclei
Macosko|Lymphocyte_Pou2af1_Ms4a4c,28,Lymphocyte_Pou2af1_Ms4a4c,Macosko,Nuclei
Macosko|Lymphocyte_Pou2af1_Il7r,29,Lymphocyte_Pou2af1_Il7r,Macosko,Nuclei
Macosko|Lymphocyte_Pou2af1_Spib,30,Lymphocyte_Pou2af1_Spib,Macosko,Nuclei
Zeng|5276,31,5276,Zeng,Cells
Macosko|Granulocyte_Ly6g_Ltf_1,32,Granulocyte_Ly6g_Ltf_1,Macosko,Nuclei
Macosko|Granulocyte_Ly6g_Ltf_2,33,Granulocyte_Ly6g_Ltf_2,Macosko,Nuclei
Macosko|Granulocyte_Ly6g_Retnlg,34,Granulocyte_Ly6g_Retnlg,Macosko,Nuclei
Macosko|DC_Slamf7_Ccr7,35,DC_Slamf7_Ccr7,Macosko,Nuclei
Macosko|Lymphocyte_Itgal_Ly6c2,36,Lymphocyte_Itgal_Ly6c2,Macosko,Nuclei
Macosko|Lymphocyte_Itgal_Spn,37,Lymphocyte_Itgal_Spn,Macosko,Nuclei
Macosko|DC_Slamf7_Gcsam,38,DC_Slamf7_Gcsam,Macosko,Nuclei
Zeng|5277,39,5277,Zeng,Cells
Zeng|5278,40,5278,Zeng,Cells
Macosko|Macro_Mrc1_Cd209a,41,Macro_Mrc1_Cd209a,Macosko,Nuclei
Zeng|5279,42,5279,Zeng,Cells
Macosko|Pit_Six1_Hmgcs2_1,43,Pit_Six1_Hmgcs2_1,Macosko,Nuclei
Macosko|Pit_Six1_Hmgcs2_2,44,Pit_Six1_Hmgcs2_2,Macosko,Nuclei
Zeng|5250,45,5250,Zeng,Cells
Zeng|5249,46,5249,Zeng,Cells
Macosko|Endo_Flt1_Acta2_Olfr558_3,47,Endo_Flt1_Acta2_Olfr558_3,Macosko,Nuclei
Macosko|Endo_Flt1_Actg2,48,Endo_Flt1_Actg2,Macosko,Nuclei
Zeng|5248,49,5248,Zeng,Cells
Macosko|Endo_Flt1_Kcnj8_Ccl19_1,50,Endo_Flt1_Kcnj8_Ccl19_1,Macosko,Nuclei
Macosko|Endo_Flt1_Kcnj8_Ccl19_2,51,Endo_Flt1_Kcnj8_Ccl19_2,Macosko,Nuclei
Macosko|Endo_Flt1_Kcnj8_Slc47a2_1,52,Endo_Flt1_Kcnj8_Slc47a2_1,Macosko,Nuclei
Macosko|Endo_Flt1_Kcnj8_Slc47a2_2,53,Endo_Flt1_Kcnj8_Slc47a2_2,Macosko,Nuclei
Macosko|Endo_Flt1_Kcnj8,54,Endo_Flt1_Kcnj8,Macosko,Nuclei
Zeng|5243,55,5243,Zeng,Cells
Zeng|5244,56,5244,Zeng,Cells
Macosko|Endo_Flt1_Acta2_Olfr558_1,57,Endo_Flt1_Acta2_Olfr558_1,Macosko,Nuclei
Macosko|Endo_Flt1_Acta2_Olfr558_2,58,Endo_Flt1_Acta2_Olfr558_2,Macosko,Nuclei
Zeng|5252,59,5252,Zeng,Cells
Zeng|5254,60,5254,Zeng,Cells
Macosko|Endo_Flt1_Exoc3l2_1,61,Endo_Flt1_Exoc3l2_1,Macosko,Nuclei
Macosko|Endo_Flt1_Exoc3l2_2,62,Endo_Flt1_Exoc3l2_2,Macosko,Nuclei
Macosko|Endo_Flt1_Ssu2_3,63,Endo_Flt1_Ssu2_3,Macosko,Nuclei
Macosko|Endo_Flt1_Cytl1,64,Endo_Flt1_Cytl1,Macosko,Nuclei
Macosko|Endo_Flt1_Ssu2_1,65,Endo_Flt1_Ssu2_1,Macosko,Nuclei
Macosko|Endo_Flt1_Ssu2_2,66,Endo_Flt1_Ssu2_2,Macosko,Nuclei
Macosko|Endo_Flt1_Lrg1_1,67,Endo_Flt1_Lrg1_1,Macosko,Nuclei
Macosko|Endo_Flt1_Lrg1_2,68,Endo_Flt1_Lrg1_2,Macosko,Nuclei
Macosko|Endo_Flt1_Lrg1_5,69,Endo_Flt1_Lrg1_5,Macosko,Nuclei
Macosko|Endo_Flt1_Lrg1_3,70,Endo_Flt1_Lrg1_3,Macosko,Nuclei
Macosko|Endo_Flt1_Lrg1_4,71,Endo_Flt1_Lrg1_4,Macosko,Nuclei
Macosko|Endo_Flt1_Cysltr1_Slc19a3,72,Endo_Flt1_Cysltr1_Slc19a3,Macosko,Nuclei
Macosko|Endo_Flt1_Rgs5_Slc19a3_1,73,Endo_Flt1_Rgs5_Slc19a3_1,Macosko,Nuclei
Zeng|5255,74,5255,Zeng,Cells
Macosko|Fibro_Vdr_Bglap,75,Fibro_Vdr_Bglap,Macosko,Nuclei
Macosko|Fibro_Vdr_Mmp13_1,76,Fibro_Vdr_Mmp13_1,Macosko,Nuclei
Macosko|Fibro_Vdr_Mmp13_w,77,Fibro_Vdr_Mmp13_w,Macosko,Nuclei
Zeng|5265,78,5265,Zeng,Cells
Macosko|Fibro_Eya2_Inmt,79,Fibro_Eya2_Inmt,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccl11,80,Fibro_Eya2_Ccl11,Macosko,Nuclei
Macosko|Fibro_Eya2_Meox2,81,Fibro_Eya2_Meox2,Macosko,Nuclei
Macosko|Fibro_Eya2_Srpx2,82,Fibro_Eya2_Srpx2,Macosko,Nuclei
Zeng|5264,83,5264,Zeng,Cells
Macosko|Fibro_Eya2_Aox3,84,Fibro_Eya2_Aox3,Macosko,Nuclei
Zeng|5259,85,5259,Zeng,Cells
Zeng|5263,86,5263,Zeng,Cells
Zeng|5266,87,5266,Zeng,Cells
Zeng|5261,88,5261,Zeng,Cells
Zeng|5262,89,5262,Zeng,Cells
Macosko|Fibro_Eya2_Unc5c_3,90,Fibro_Eya2_Unc5c_3,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccdc192_5,91,Fibro_Eya2_Ccdc192_5,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccdc192_4,92,Fibro_Eya2_Ccdc192_4,Macosko,Nuclei
Macosko|Fibro_Eya2_Unc5c_2,93,Fibro_Eya2_Unc5c_2,Macosko,Nuclei
Macosko|Fibro_Eya2_Sh3gl3,94,Fibro_Eya2_Sh3gl3,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccdc192_3,95,Fibro_Eya2_Ccdc192_3,Macosko,Nuclei
Macosko|Fibro_Eya2_Rbp4_5,96,Fibro_Eya2_Rbp4_5,Macosko,Nuclei
Macosko|Fibro_Eya2_Rbp4_3,97,Fibro_Eya2_Rbp4_3,Macosko,Nuclei
Macosko|Fibro_Eya2_Rbp4_2,98,Fibro_Eya2_Rbp4_2,Macosko,Nuclei
Macosko|Fibro_Eya2_Rbp4_4,99,Fibro_Eya2_Rbp4_4,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccdc192_2,100,Fibro_Eya2_Ccdc192_2,Macosko,Nuclei
Macosko|Fibro_Eya2_Unc5c_1,101,Fibro_Eya2_Unc5c_1,Macosko,Nuclei
Macosko|Fibro_Eya2_Ccdc192_1,102,Fibro_Eya2_Ccdc192_1,Macosko,Nuclei
Macosko|Fibro_Eya2_Syt9_1,103,Fibro_Eya2_Syt9_1,Macosko,Nuclei
Macosko|Fibro_Eya2_Syt9_2,104,Fibro_Eya2_Syt9_2,Macosko,Nuclei
Macosko|Fibro_Eya2_Rbp4_1,105,Fibro_Eya2_Rbp4_1,Macosko,Nuclei
Zeng|5260,106,5260,Zeng,Cells
Macosko|Fibro_Eya2_Rspo2,107,Fibro_Eya2_Rspo2,Macosko,Nuclei
Macosko|Fibro_Eya2_Unc5c_4,108,Fibro_Eya2_Unc5c_4,Macosko,Nuclei
Macosko|Fibro_Eya2_Obp1a,109,Fibro_Eya2_Obp1a,Macosko,Nuclei
Macosko|Fibro_Eya2_Slc47a1_2,110,Fibro_Eya2_Slc47a1_2,Macosko,Nuclei
Macosko|Fibro_Eya2_Slc47a1_3,111,Fibro_Eya2_Slc47a1_3,Macosko,Nuclei
Macosko|Fibro_Eya2_Slc47a1_4,112,Fibro_Eya2_Slc47a1_4,Macosko,Nuclei
Macosko|Fibro_Eya2_Ptgs2,113,Fibro_Eya2_Ptgs2,Macosko,Nuclei
Macosko|Fibro_Eya2_Slc47a1_5,114,Fibro_Eya2_Slc47a1_5,Macosko,Nuclei
Macosko|Fibro_Eya2_Slc47a1_1,115,Fibro_Eya2_Slc47a1_1,Macosko,Nuclei
