GO_id,GO_name,is_synGO,num_genes,average_correlation,prop_best,gene_set
GO:0000002,mitochondrial genome maintenance,FALSE,30,0.43842286318515333,0.16666666666666666,"Endog,Lig3,Mef2a,Mpv17,Polg,Rnaseh1,Rrm1,Top3a,Trp53,Akt3,Mrpl39,Mrpl15,Mrpl17,Polg2,Tk2,Chchd4,Opa1,Mgme1,Mettl4,Gimap3,Pif1,Stox1,Neurl4,Twnk,Sesn2,Mtnap1,Dna2,Ssbp1,Rrm2b,Primpol"
GO:0000018,regulation of DNA recombination,FALSE,121,0.3563651693343042,0.23140495867768596,"Blm,Cd28,Chek1,Crebbp,Csnk2a1,Epc1,Ercc2,H1f3,H1f0,Prmt1,Ifng,Il2,Il4,Lig3,Mlh1,Msh2,Msh6,Plk1,Pms2,Pms2,Ptprc,Rad50,Rad51,Rad51ap1,Rpa2,Ruvbl2,Foxp3,Stat6,Supt6,Vps72,Terf2,Morf4l1,Tgfb1,Timeless,Cd40,Tnfsf4,Ube2b,Was,Trp53bp1,Skp2,H1f2,H1f4,Sirt6,Il27ra,H1f9,Paxip1,Morf4l2,Ppp4c,Actl6a,Ruvbl1,H1f5,Clcf1,Terf2ip,Tbx21,Rad18,Pias4,Fignl1,Yeats4,Ndfip1,Dmap1,Exosc3,Actr2,Khdc3,Peli1,Pagr1a,Wdr48,Ooep,Mrnip,Tnfsf13,Meaf6,Rnf126,Ing3,Mad2l2,Aplf,Pot1b,Mrgbp,Shld1,Smchd1,Parpbp,Ep400,Shld2,Arid2,Polq,Brd8,H1f1,Senp3,Kat5,Ubqln4,Slc15a4,Trrap,Radx,Mbtd1,Tex15,Nsd2,H1f6,Helb,Recql5,H1f8,Helq,Prdm9,Cgas,Wrap53,Rmi2,Spidr,Kmt5b,Zranb3,Epc2,Hmces,Ppp4r2,Kmt5c,Fus,Ankle1,Parp3,Setd2,Fancb,Atad5,H1f10,Rtel1,Zcwpw1,Usp51,Shld3"
GO:0000027,ribosomal large subunit assembly,FALSE,16,0.3342126947783227,0,"Bop1,Eif6,Rrs1,Rpl11,Rpf2,Brix1,Mrm2,Nop53,Rpl24,Mrto4,Ddx28,Dhx30,Fastkd2,Nop2,Rpl10l,Rpl5"
GO:0000028,ribosomal small subunit assembly,FALSE,18,0.2646234641634072,0,"Fau,Rpsa,Rps14,Rps15,Rps19,Rps5,Rps6,Abt1,Mrps7,Mettl17,Rps28,Rps27,Eral1,Rps27l,Rrp7a,Rps25,Pwp2,Mcat"
GO:0000038,very long-chain fatty acid metabolic process,FALSE,25,0.4584712303299749,0.48,"Acox1,Abcd1,Elovl3,Abcd4,Pex2,Pex5,Slc27a2,Slc27a5,Slc27a4,Abcd2,Elovl1,Elovl2,Hacd3,Hacd4,Acox2,Tecr,Acaa1a,Elovl6,Acot2,Acot3,Acot4,Acsl6,Acot5,Acaa1b,Tecrl"
GO:0000041,transition metal ion transport,FALSE,88,0.40811787509284175,0.36363636363636365,"Ap3d1,Atox1,Atp7a,Atp7b,B2m,Abcc2,Dnm2,Sfxn1,Fxn,Ftl1,Cblif,Slc39a7,Heph,Hfe,Hif1a,Hpx,Hrh1,Hsd3b2,Hsd3b3,Hsd3b6,Ifng,Lcn2,Ltf,Slc11a1,Slc11a2,Pik3c2a,Rab11b,Slc31a1,Slc31a2,Tcn2,Slc30a1,Slc30a3,Slc30a4,Abcc5,Trpm2,Meltf,Slc39a1,Tfr2,Slc46a1,Slc40a1,Snx3,Trpm7,Slc22a17,Iscu,Hamp2,Slc30a7,Rep15,Cltc,Slc39a8,Ftmt,Slc25a37,Slc48a1,Mcoln2,Slc39a13,Steap3,Atp2c2,Pgrmc2,Scara5,Slc46a3,Inhca,Slc39a5,Slc39a4,Steap2,Abcb6,Hamp,Mcoln1,Slc39a3,Slc39a6,Slc30a9,Steap4,Asic3,Timd2,Slc30a6,Slc39a14,Slc39a2,Mmgt2,Flvcr2,Trpm6,Slc30a10,Flvcr1,Arhgap1,Slc30a2,Lmtk2,Atp2c1,Mmgt1,Slc30a8,Hephl1,Slc39a9"
GO:0000045,autophagosome assembly,FALSE,96,0.4492337026502308,0.3020833333333333,"Ap4m1,Atp2a2,Rb1cc1,Efnb1,Irgm1,Ifi47,Igtp,Pip4k2a,Rab1a,Rab19,Rab23,Rab33a,Rab33b,Rab7,Sec22b,Tgtp1,Tom1,Traf6,Ulk1,Tcirg1,Ulk2,Chek2,Stbd1,Wipi1,Rnf5,Irgm2,Ubqln2,Wdr45,Sh3glb1,Ift20,Ubqln1,Becn1,Nupr1,Gabarap,Gabarapl1,Iigp1,Trp53inp1,Moap1,Ralb,Emc6,Map1lc3a,Rnf186,Map1lc3b,Stx17,Tmem39a,Atg101,Trp53inp2,Pink1,Trim32,Rab43,Ulk3,Sting1,C9orf72,Atg16l2,Mtmr3,Wipi2,Vmp1,Rab1b,Atg2b,Arfip2,Atg16l1,Phf23,Lrba,Gabarapl2,Rab3gap2,Stx12,Atg4a-ps,Pip4k2b,Ehmt2,Snx18,Mfn2,Snx30,Atg9b,Ubxn2a,Fez2,Pik3c3,Gm4841,Rab3gap1,Becn2,Lrsam1,Ambra1,Ap5z1,Atg4d,Fez1,Smcr8,Iigp1c,F830016B08Rik,Atg9a,Atg2a,Nsfl1c,Gm5431,Rufy4,Gm12185,9930111J21Rik1,Tgtp2,Atg14"
GO:0000076,DNA replication checkpoint signaling,FALSE,16,0.3177820185819985,0.125,"Hus1,Orc1,Rad9a,Timeless,Cdc6,Donson,Tipin,Zfp830,Cdt1,Ticrr,Hus1b,Rad9b,Topbp1,Mdc1,Clspn,Dna2"
GO:0000077,DNA damage checkpoint signaling,FALSE,89,0.4180191363490805,0.2808988764044944,"Atf2,Atm,Bard1,Blm,Brca1,Brca2,Ccnd1,Ccng1,Cdk1,Cdkn1a,Chek1,Clock,Cry1,E2f1,Gnb1l,Fem1b,H2ax,Hus1,Ier3,Mbd4,Mre11a,Msh2,Nek1,Plk1,Ptpn11,Rad1,Rad51,Rad9a,Rpa2,Trex1,Trp53,Xpc,Mapk14,Creb3l1,Trp53bp1,Nbn,Cep63,Chek2,Foxo4,Fzr1,Brd4,Donson,Map3k20,Tipin,Zfp830,Rnaseh2b,Rps27l,Mrnip,Nop53,Etaa1,Syf2,Abraxas1,Foxn3,Mus81,Rhno1,Rint1,Tti1,Dtl,Ticrr,Ints7,Trim39,Cdk5rap3,Parp9,Hinfp,Fbxo4,Babam2,Stk33,Eme2,Nek11,Sde2,Dtx3l,Hus1b,Brcc3,Fancd2,Taok1,Ccar2,Wac,Gigyf2,Rad9b,Rfwd3,Topbp1,Atrip,Wdr76,Eme1,Clspn,Taok3,Brcc3dc,Taok2,Cdc5lrt1"
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,FALSE,35,0.42310798352547524,0.2857142857142857,"Adam17,Akt1,Apc,Blm,Casp3,Ccnd1,Cdkn1a,Cdkn1b,Cdkn2a,Cdkn2b,Cdkn2c,Cdkn2d,Hhex,Men1,Pim1,Plk1,Pten,Stil,Tnfaip3,Lats2,Psmd10,Sfn,Psrc1,Bccip,Cdk5rap1,Ccny,Spdya,Hexim2,Spdye4a,Cdk5rap3,Tfap4,Mapre3,Inca1,Myocd,Wee2"
