cell.type,study_id,n,cumulative_cell_fraction,cumulative_cluster_fraction,Dataset
Macosko|Ex_Gabra6_Gabrd,Macosko,552018,0.12525094751974908,1.9880715705765408e-4,Nuclei
Macosko|Oligo_Opalin_Synpr,Macosko,498062,0.23825946793680297,3.9761431411530816e-4,Nuclei
Zeng|5231,Zeng,264669,0.06546390579612642,1.8789928598271326e-4,Cells
Macosko|Oligo_Opalin_Enpp6_1,Macosko,250175,0.29502329773176117,5.964214711729623e-4,Nuclei
Macosko|Astro_Agt_Sntg1,Macosko,233564,0.3480181499041589,7.952286282306163e-4,Nuclei
Macosko|Astro_Ephb1_Fzd2,Macosko,182978,0.38953521615067377,9.940357852882703e-4,Nuclei
Macosko|Ex_Slc30a3_Otof,Macosko,171393,0.42842368654158924,0.0011928429423459245,Nuclei
Macosko|OPC_Cspg5,Macosko,156853,0.4640130819441218,0.0013916500994035786,Nuclei
Zeng|14939,Zeng,131046,0.09787715781642038,3.757985719654265e-4,Cells
Macosko|Micro_Selplg_Siglech,Macosko,129820,0.49346878448826675,0.0015904572564612327,Nuclei
Zeng|5230,Zeng,120642,0.12771705792960433,5.636978579481398e-4,Cells
Zeng|5203,Zeng,117304,0.1567313286054629,7.51597143930853e-4,Cells
Zeng|5158,Zeng,115909,0.18540055642180414,9.394964299135663e-4,Cells
Zeng|14956,Zeng,108101,0.21213853359505475,0.0011273957158962795,Cells
Zeng|232,Zeng,100893,0.2370936656561899,0.0013152950018789928,Cells
Zeng|5283,Zeng,86232,0.25842250856794596,0.001503194287861706,Cells
Macosko|Oligo_Opalin_Enpp6_2,Macosko,84682,0.51268283319296,0.0017892644135188867,Nuclei
Zeng|188,Zeng,72787,0.2764258308730994,0.0016910935738444193,Cells
Macosko|Ex_Rorb_Adam33,Macosko,48748,0.5237435833672165,0.0019880715705765406,Nuclei
Zeng|5254,Zeng,48562,0.28843727986512907,0.0018789928598271326,Cells
Macosko|Ex_Plekhg1_Fign_Tnnt1_1,Macosko,46936,0.5343931970986292,0.002186878727634195,Nuclei
Zeng|184,Zeng,43927,0.29930229613037523,0.002066892145809846,Cells
Macosko|Fibro_Eya2_Aox3,Macosko,43244,0.5442051089829228,0.002385685884691849,Nuclei
Zeng|1405,Zeng,42250,0.30975251893654576,0.002254791431792559,Cells
Macosko|Oligo_Klk6_1,Macosko,39353,0.5531341666182621,0.002584493041749503,Nuclei
Zeng|174,Zeng,38128,0.3191831957449166,0.0024426907177752723,Cells
Zeng|196,Zeng,37698,0.32850751525608857,0.0026305900037579856,Cells
Macosko|Ex_Rorb_Tnnc1,Macosko,34389,0.5609369100691217,0.002783300198807157,Nuclei
Macosko|Inh_Lhx6_Pvalb_Tac1,Macosko,33414,0.5685184294406366,0.002982107355864811,Nuclei
Macosko|Endo_Flt1_Rgs5_Slc19a3_1,Macosko,33307,0.5760756708875465,0.0031809145129224653,Nuclei
Zeng|65,Zeng,32875,0.33663890164077154,0.002818489289740699,Cells
Macosko|Inh_Frmd7_Sema3c,Macosko,32518,0.5834538910025557,0.003379721669980119,Nuclei
Zeng|72,Zeng,31772,0.34449746919101176,0.003006388575723412,Cells
Macosko|Ex_Slc30a3_Trhr,Macosko,31736,0.5906546780611059,0.0035785288270377734,Nuclei
