target_cluster,source,auroc,type,source_label,Comparison
Inh_Tfap2b_Erfl_2,Macosko,0.8764238151959427,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Rorb_Cobll1,Macosko,0.7889679771511425,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Pax2_Ceacam10,Macosko,0.9216560428842384,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx1_Vsir_3,Macosko,0.9347312558044358,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
SerEx_Fev_A2m,Macosko,0.9527525518092284,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Dmrt3_Mecom_1,Macosko,0.974816808766188,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Sox2_Ikzf1_3,Macosko,0.9886292406014416,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Vsx2_Pgm5_8,Macosko,0.9249510568016308,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
DopEx_Calb1_Lpl_1,Macosko,0.9650260003639464,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lmx1a_Galnt3_2,Macosko,0.8692876385409475,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx1_Slco1a6,Macosko,0.819949724885602,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Six3_Pvalb_Cplx3_1,Macosko,0.9587659426379356,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_C1ql4_Drd1_3,Macosko,0.905057398206818,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Hoxc4_Abcc9_4,Macosko,0.9030401650969858,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Vcan_St8sia2_3,Macosko,0.8743800864960576,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Samd3_Slc38a11_1,Macosko,0.980638594096934,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Onecut3_Pappa2,Macosko,0.8960257878709951,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Inh_Lhx8_Pde11a_4,Macosko,0.9323023489485924,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
Ex_Lhx9_Adgrg2_1,Macosko,0.9346077170933818,self_1_vs_all_AUROC,Nuclei,Target cluster vs all
