set,cluster_id
Winter et al.,393
Winter et al.,391
Winter et al.,406
Winter et al.,383
Winter et al.,384
Winter et al.,387
Winter et al.,403
Winter et al.,389
Winter et al.,405
Winter et al.,388
Winter et al.,398
Winter et al.,400
Winter et al.,390
Winter et al.,385
Winter et al.,402
Winter et al.,386
Winter et al.,395
Winter et al.,404
Winter et al.,8215
Winter et al.,24414
Winter et al.,2146
Winter et al.,4117
Winter et al.,4132
Winter et al.,4134
Winter et al.,4119
Winter et al.,24635
Winter et al.,24535
Winter et al.,24534
Winter et al.,24637
Winter et al.,2671
Winter et al.,2665
Winter et al.,24533
Winter et al.,24527
Winter et al.,24532
Winter et al.,34348
Winter et al.,15067
Winter et al.,15062
Winter et al.,24686
Winter et al.,4112
Winter et al.,3934
Winter et al.,3945
Winter et al.,15072
Winter et al.,2780
Winter et al.,24522
Winter et al.,15074
Winter et al.,15078
Winter et al.,2670
Winter et al.,24611
Winter et al.,4276
Winter et al.,4707
Winter et al.,4697
Winter et al.,4756
Winter et al.,4755
Winter et al.,24680
Winter et al.,4734
Winter et al.,2175
Winter et al.,5000
Winter et al.,2213
Winter et al.,24578
Winter et al.,5004
Winter et al.,2147
Winter et al.,24472
Winter et al.,2305
Winter et al.,4759
Winter et al.,4696
Winter et al.,5002
Winter et al.,24563
Winter et al.,4724
Winter et al.,4722
Winter et al.,4751
Winter et al.,4757
Winter et al.,24576
Winter et al.,15026
Winter et al.,4611
Winter et al.,4558
Winter et al.,4721
Winter et al.,4708
Winter et al.,24471
Winter et al.,4604
Winter et al.,4978
Winter et al.,4754
Winter et al.,4698
Winter et al.,4610
Winter et al.,5001
Winter et al.,4834
Winter et al.,4624
Winter et al.,4557
Winter et al.,2664
Winter et al.,4066
Winter et al.,3782
Winter et al.,5402
Winter et al.,3112
Winter et al.,3642
Winter et al.,24588
Winter et al.,24589
Winter et al.,15027
Winter et al.,3691
Winter et al.,3108
Winter et al.,3669
Winter et al.,3668
Winter et al.,3248
Winter et al.,3239
Winter et al.,34184
Winter et al.,24717
Winter et al.,34362
Winter et al.,3804
Winter et al.,24411
Winter et al.,3700
Winter et al.,3786
Winter et al.,3048
Winter et al.,4075
Winter et al.,4076
Winter et al.,3623
Winter et al.,4072
Winter et al.,24598
Winter et al.,24595
Winter et al.,3872
Winter et al.,3882
Winter et al.,4300
Winter et al.,4304
Winter et al.,4251
Winter et al.,15016
Winter et al.,4232
Winter et al.,4222
Winter et al.,4231
Winter et al.,4246
Winter et al.,4255
Winter et al.,3947
Winter et al.,4346
Winter et al.,4234
Winter et al.,3640
Winter et al.,4240
Winter et al.,3819
Winter et al.,4237
Winter et al.,3650
Winter et al.,4332
Winter et al.,3948
Winter et al.,3653
Winter et al.,4341
Winter et al.,4342
Winter et al.,4239
Winter et al.,3816
Winter et al.,4330
Winter et al.,3949
Winter et al.,4230
Winter et al.,4233
Winter et al.,4221
Winter et al.,4229
Winter et al.,4343
Winter et al.,3954
Winter et al.,3616
Winter et al.,4226
Winter et al.,4259
Winter et al.,4336
Winter et al.,3900
Winter et al.,24521
Winter et al.,15068
Winter et al.,4248
Winter et al.,3641
Winter et al.,2623
Winter et al.,2618
Winter et al.,24662
Winter et al.,3835
Winter et al.,8803
Winter et al.,2637
Winter et al.,3832
Winter et al.,2603
Winter et al.,4218
Winter et al.,3813
Winter et al.,8164
Winter et al.,8801
Winter et al.,3809
Winter et al.,8178
Winter et al.,24666
Winter et al.,24688
Winter et al.,3903
Winter et al.,3833
Winter et al.,3827
Winter et al.,24678
Winter et al.,2619
Winter et al.,24665
Winter et al.,3812
Winter et al.,4174
Winter et al.,4955
Winter et al.,3890
Winter et al.,3815
Winter et al.,3811
Winter et al.,8958
Winter et al.,3703
Winter et al.,24689
Winter et al.,2626
Winter et al.,24612
Winter et al.,4077
Winter et al.,24420
Winter et al.,4308
Winter et al.,2145
Winter et al.,3738
Winter et al.,3867
Winter et al.,3866
Winter et al.,2154
Winter et al.,3113
Winter et al.,3100
Winter et al.,24424
Winter et al.,2661
Winter et al.,4867
Winter et al.,4970
Winter et al.,2662
Winter et al.,2773
Winter et al.,3083
Winter et al.,4309
Winter et al.,3652
Winter et al.,3064
Winter et al.,2770
Winter et al.,4091
Winter et al.,3725
Winter et al.,4044
Winter et al.,24426
Winter et al.,24744
Winter et al.,8798
Winter et al.,34182
Winter et al.,4408
Winter et al.,34200
Winter et al.,34154
Winter et al.,24747
Winter et al.,34234
Winter et al.,34178
Winter et al.,24725
Winter et al.,34140
Winter et al.,3130
Winter et al.,34164
Winter et al.,34349
Winter et al.,24714
Winter et al.,34181
Winter et al.,34188
Winter et al.,34363
Winter et al.,24713
Winter et al.,3245
Winter et al.,34180
Winter et al.,34144
Winter et al.,24727
Winter et al.,4196
Winter et al.,3694
Winter et al.,34187
Winter et al.,2932
Winter et al.,2939
Winter et al.,2940
Winter et al.,3146
Winter et al.,34226
Winter et al.,24712
Winter et al.,4450
Winter et al.,4211
Winter et al.,3375
Winter et al.,34179
Winter et al.,34202
Winter et al.,4441
Winter et al.,3645
Winter et al.,3646
Winter et al.,3682
Winter et al.,3664
Winter et al.,3647
Winter et al.,3098
Winter et al.,3101
Winter et al.,4142
Winter et al.,4213
Winter et al.,4141
Winter et al.,4210
Winter et al.,4143
Winter et al.,1944
Winter et al.,1943
Winter et al.,1912
Winter et al.,2155
Winter et al.,1658
Winter et al.,2200
Winter et al.,1706
Winter et al.,2468
Winter et al.,2471
Winter et al.,2472
Winter et al.,2470
Winter et al.,2116
Winter et al.,2473
Winter et al.,24658
Winter et al.,3775
Winter et al.,3776
Winter et al.,2182
Winter et al.,3781
Winter et al.,3881
Winter et al.,2849
Winter et al.,2851
Winter et al.,2848
Winter et al.,3871
Winter et al.,3870
Songpeng et al.,4153
Songpeng et al.,14873
Songpeng et al.,14862
Songpeng et al.,5256
Songpeng et al.,5260
Songpeng et al.,14883
Songpeng et al.,5232
Songpeng et al.,5241
Songpeng et al.,298
Songpeng et al.,5261
Songpeng et al.,5149
Songpeng et al.,3623
Songpeng et al.,5283
Songpeng et al.,5258
Songpeng et al.,4589
Songpeng et al.,5252
Songpeng et al.,14913
Songpeng et al.,14920
Songpeng et al.,4158
Songpeng et al.,14879
Songpeng et al.,5249
Songpeng et al.,14919
Songpeng et al.,5263
Songpeng et al.,832
Songpeng et al.,1194
Songpeng et al.,326
Songpeng et al.,14965
Songpeng et al.,9391
Songpeng et al.,5264
Songpeng et al.,278
Songpeng et al.,1192
Songpeng et al.,5244
Songpeng et al.,2400
Songpeng et al.,2986
Songpeng et al.,14865
Songpeng et al.,270
Songpeng et al.,4187
Songpeng et al.,14980
Songpeng et al.,5255
Songpeng et al.,1470
Songpeng et al.,3007
Songpeng et al.,3892
Songpeng et al.,1339
Songpeng et al.,2679
Songpeng et al.,4570
Songpeng et al.,5273
Songpeng et al.,14914
Songpeng et al.,14990
Songpeng et al.,5268
Songpeng et al.,14926
Songpeng et al.,418
Songpeng et al.,5212
Songpeng et al.,5279
Songpeng et al.,3330
Songpeng et al.,1795
Songpeng et al.,5230
Songpeng et al.,5214
Songpeng et al.,14991
Songpeng et al.,977
Songpeng et al.,5254
Songpeng et al.,261
Songpeng et al.,2870
Songpeng et al.,613
Songpeng et al.,247
Songpeng et al.,2145
Songpeng et al.,1398
Songpeng et al.,38
Songpeng et al.,880
Songpeng et al.,14939
Songpeng et al.,14984
Songpeng et al.,3550
Songpeng et al.,867
Songpeng et al.,5275
Songpeng et al.,5204
Songpeng et al.,1407
Songpeng et al.,5266
Songpeng et al.,2575
Songpeng et al.,3262
Songpeng et al.,485
Songpeng et al.,5240
Songpeng et al.,5150
Songpeng et al.,413
Songpeng et al.,14962
Songpeng et al.,24686
Songpeng et al.,4804
Songpeng et al.,14956
Songpeng et al.,8861
Songpeng et al.,2567
Songpeng et al.,131
Songpeng et al.,4193
Songpeng et al.,5218
Songpeng et al.,14975
