target,reference,auroc,auroc_one_v_all,reference_study,target_study,log_inverse,inverse,is_ref_recip,is_ref_recip_string
Zeng|14965,Macosko|Astro_Agt_Sntg1,0.7408736102318599,0.9915885699317426,Macosko,Zeng,2.075130161401338,0.008411430068257397,TRUE,Reciprocal
Zeng|14862,Macosko|Astro_Emid1_Cd38,0.8697786007247243,0.9949959359198326,Macosko,Zeng,2.3006771375307933,0.005004064080167403,TRUE,Reciprocal
Zeng|14873,Macosko|Astro_Emid1_Gdf10,0.9929457524308474,0.9998041352337556,Macosko,Zeng,3.7080436814214948,1.9586476624444682e-4,TRUE,Reciprocal
Zeng|14939,Macosko|Astro_Ephb1_Fzd2,0.5774000692800623,0.9856865091452728,Macosko,Zeng,1.8442544351390615,0.014313490854727218,TRUE,Reciprocal
Zeng|14933,Macosko|Astro_Ephb1_Gfap,0.40104001005984136,0.9790376644856718,Macosko,Zeng,1.6785603321616414,0.020962335514328245,TRUE,Reciprocal
Zeng|14951,Macosko|Astro_Fabp7_Hs3st3a1_1,0.5853147073662965,0.982498904841978,Macosko,Zeng,1.7569347738163286,0.017501095158022006,TRUE,Reciprocal
Zeng|14953,Macosko|Astro_Fabp7_Hs3st3a1_2,0.7334375718096532,0.9959355686714662,Macosko,Zeng,2.391000209763965,0.004064431328533846,TRUE,Reciprocal
Zeng|14858,Macosko|Astro_Fabp7_Hs3st3a1_3,0.4374468085106382,0.9883120656537048,Macosko,Zeng,1.9322622365947881,0.011687934346295226,TRUE,Reciprocal
Zeng|14858,Macosko|Astro_Fabp7_Hs3st3a1_4,0.6097191489361702,0.97715169826267,Macosko,Zeng,1.6411460745226123,0.02284830173732999,FALSE,Nonreciprocal
Zeng|14857,Macosko|Astro_Fabp7_Hs3st3a1_5,0.3989811320754717,0.9914205971598394,Macosko,Zeng,2.0665429396860873,0.008579402840160566,TRUE,Reciprocal
Zeng|14925,Macosko|Astro_Fabp7_Siah3,0.2527845036319605,0.9926402960204144,Macosko,Zeng,2.1331396534095,0.00735970397958563,FALSE,Nonreciprocal
Zeng|14886,Macosko|Astro_Fabp7_Wt1,0.9804611774308744,0.999094409466301,Macosko,Zeng,3.0430681258905454,9.055905336989856e-4,TRUE,Reciprocal
Zeng|3690,Macosko|CholEx_Evx2_Erfl,0.4278350515463918,0.996692797907222,Macosko,Zeng,2.480539265897708,0.0033072020927780166,FALSE,Nonreciprocal
Zeng|4050,Macosko|CholEx_Fbxl7_Defa24,0.7212787212787212,0.9999868290480832,Macosko,Zeng,4.880382835724432,1.317095191677442e-5,TRUE,Reciprocal
Zeng|3669,Macosko|CholEx_Foxb1_Ctxn3,0.6141414141414142,0.9968859293611644,Macosko,Zeng,2.506671540223721,0.00311407063883562,FALSE,Nonreciprocal
Zeng|3652,Macosko|CholEx_Hmx2_A2m,0.5550332941637289,0.9972045463860392,Macosko,Zeng,2.553547709761233,0.00279545361396083,FALSE,Nonreciprocal
Zeng|24428,Macosko|CholEx_Hmx2_Hmx3,0.4464285714285714,0.9976294160766296,Macosko,Zeng,2.625144665187247,0.0023705839233704173,FALSE,Nonreciprocal
Zeng|3652,Macosko|CholEx_Hmx2_Pthlh,0.5656370656370656,0.9950645763956664,Macosko,Zeng,2.306675566169743,0.004935423604333633,FALSE,Nonreciprocal
Zeng|3645,Macosko|CholEx_Hmx3_Agtr1b,0.45307917888563054,0.9974230174314592,Macosko,Zeng,2.588888519133285,0.0025769825685407755,FALSE,Nonreciprocal
Zeng|3646,Macosko|CholEx_Hmx3_Grpr,0.8035190615835778,0.9985373804751252,Macosko,Zeng,2.834868633367131,0.0014626195248748086,FALSE,Nonreciprocal
Zeng|3645,Macosko|CholEx_Hmx3_Wnt10a,0.38563049853372433,0.9969975357258238,Macosko,Zeng,2.5225221514922374,0.0030024642741761642,FALSE,Nonreciprocal
Zeng|3628,Macosko|CholEx_Hoxb5_Prdm16_1,0.8691838291380626,0.999775869812257,Macosko,Zeng,3.6494996450835337,2.241301877430324e-4,TRUE,Reciprocal
Zeng|24428,Macosko|CholEx_Hoxb5_Prdm16_2,0.6,0.995554480837687,Macosko,Zeng,2.3520775133975493,0.00444551916231295,FALSE,Nonreciprocal
Zeng|4057,Macosko|CholEx_Hoxc4_Olfr681,0.8734265734265735,0.9994729254363858,Macosko,Zeng,3.278127942139312,5.270745636142271e-4,FALSE,Nonreciprocal
Zeng|2894,Macosko|CholEx_Irx2_Gm5741,0.61528678788997,0.999819104268804,Macosko,Zeng,3.7425716815642716,1.8089573119595137e-4,TRUE,Reciprocal
Zeng|2878,Macosko|CholEx_Irx2_Slc43a3_1,0.40996698294855527,0.9997336049342244,Macosko,Zeng,3.5744738235192237,2.6639506577563754e-4,TRUE,Reciprocal
Zeng|2880,Macosko|CholEx_Irx2_Slc43a3_2,0.6428425148474299,0.9997140995028048,Macosko,Zeng,3.543785089381573,2.85900497195235e-4,TRUE,Reciprocal
Zeng|2880,Macosko|CholEx_Irx2_Slc43a3_3,0.5423261461045611,0.9995627466130536,Macosko,Zeng,3.359266817809366,4.3725338694644567e-4,FALSE,Nonreciprocal
Zeng|2878,Macosko|CholEx_Irx2_Slc43a3_4,0.574624904172599,0.9996857242019936,Macosko,Zeng,3.502689062179973,3.142757980063582e-4,TRUE,Reciprocal
Zeng|2661,Macosko|CholEx_Irx4_Matn1,0.7216199376947041,0.9962490232463604,Macosko,Zeng,2.4258556273441716,0.0037509767536395566,FALSE,Nonreciprocal
Zeng|3689,Macosko|CholEx_Lhx9_Crabp1,0.8286526839672947,0.9985231228954198,Macosko,Zeng,2.830655642144554,0.001476877104580221,TRUE,Reciprocal
Zeng|24678,Macosko|CholEx_Lhx9_Evx2_Crabp1,0.9777992277992278,0.9998394143717227,Macosko,Zeng,3.794293324805606,1.6058562827725442e-4,TRUE,Reciprocal
Zeng|24676,Macosko|CholEx_Lhx9_Lacc1,0.5880204528853178,0.9961527419578404,Macosko,Zeng,2.414848683844555,0.0038472580421595737,FALSE,Nonreciprocal
Zeng|2359,Macosko|CholEx_Lmx1a_Tfcp2l1,0.8031600989910528,0.9996565295918468,Macosko,Zeng,3.4641106738282432,3.434704081531903e-4,TRUE,Reciprocal
Zeng|4294,Macosko|CholEx_Lmx1b_Abcc2,0.558974358974359,0.9930637402059376,Macosko,Zeng,2.1588746489495545,0.006936259794062427,FALSE,Nonreciprocal
Zeng|2330,Macosko|CholEx_Nkx2-4_Hmcn1_1,0.5457380457380457,0.9988812744328897,Macosko,Zeng,2.951276436534155,0.0011187255671103458,TRUE,Reciprocal
Zeng|2330,Macosko|CholEx_Nkx2-4_Hmcn1_2,0.4922502870264065,0.9977878226198412,Macosko,Zeng,2.655180052712911,0.002212177380158775,FALSE,Nonreciprocal
Zeng|3682,Macosko|CholEx_Onecut1_Ppp1r1c,0.835483870967742,0.9960838867724752,Macosko,Zeng,2.4071447598264237,0.003916113227524831,FALSE,Nonreciprocal
Zeng|3682,Macosko|CholEx_Onecut2_Crabp1_1,0.6338709677419354,0.9991057497415043,Macosko,Zeng,3.048540925640027,8.942502584956546e-4,FALSE,Nonreciprocal
Zeng|24429,Macosko|CholEx_Onecut2_Crabp1_2,0.8838709677419354,0.9980839964508984,Macosko,Zeng,2.717603690793063,0.001916003549101597,TRUE,Reciprocal
Zeng|24429,Macosko|CholEx_Onecut2_Crabp1_3,0.7370967741935485,0.9969808954700756,Macosko,Zeng,2.5201218502152396,0.003019104529924377,FALSE,Nonreciprocal
