Study_ID|Celltype_1,Study_ID|Celltype_2,cell_count_celltype_1,cell_count_celltype_2
Zeng|24690,Macosko|Ex_Lhx9_Slc38a11_6,19,43
Zeng|4058,Macosko|Ex_Hmx3_Npbwr1,35,33
Zeng|1288,Macosko|Inh_Tmem200a_Esr2,678,1718
Zeng|3857,Macosko|Inh_Pax5_Gdf10_2,45,47
Zeng|2986,Macosko|Inh_Pax3_Vmn1r207_5,218,96
Zeng|5158,Macosko|Ex_Gabra6_Gabrd,115909,552018
Zeng|3967,Macosko|NorEx_Phox2b_Ppara_2,157,53
Zeng|3007,Macosko|Inh_Pax7_Vmn1r207_7,355,153
Zeng|2989,Macosko|Inh_Pax3_Vmn1r207_3,42,150
Zeng|3847,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,37,44
Zeng|4263,Macosko|Ex_Phox2b_Bmp3_3,34,31
Zeng|3140,Macosko|Inh_Pax5_Slc12a7_2,41,37
Zeng|3097,Macosko|Ex_Vsx2_Tspo2_2,49,70
Zeng|3921,Macosko|Ex_Phox2b_Slc39a12_2,141,62
Zeng|1374,Macosko|Inh_Vip_Trim55_1,210,439
Zeng|3169,Macosko|Inh_Six3_Fgf15,56,101
Zeng|4457,Macosko|Inh_Pax2_Olfr372_1,82,240
Zeng|3862,Macosko|Inh_Pax5_Olig3_2,34,26
Zeng|977,Macosko|Ex_Abi3bp_Hcrtr2,295,138
Zeng|4392,Macosko|Inh_Hoxc4_F5_1,138,58
Zeng|3358,Macosko|Inh_Pax5_Pgr15l_2,52,57
Zeng|2252,Macosko|Ex_Slc12a7_Krt19,113,43
Zeng|949,Macosko|Inh_Sp8_Spp1_1,44,244
Zeng|3963,Macosko|Ex_Phox2b_Adora2a,78,81
Zeng|2985,Macosko|Inh_Pax3_Vmn1r207_2,304,138
Zeng|3950,Macosko|Ex_Phox2b_Ghsr_2,54,72
Zeng|4204,Macosko|Inh_Pax2_6430628N08Rik_4,53,49
Zeng|3923,Macosko|Ex_Phox2b_Slc39a12_1,67,69
Zeng|4050,Macosko|CholEx_Fbxl7_Defa24,182,36
Zeng|4390,Macosko|Inh_Hoxc4_Abcc9_1,212,38
Zeng|3968,Macosko|NorEx_Phox2b_Tmem45a2_1,154,129
Zeng|3971,Macosko|NorEx_Phox2b_Ppara_1,60,60
Zeng|3942,Macosko|Ex_Phox2b_Hhip_1,141,71
Macosko|Inh_Pax2_6430628N08Rik_3,Zeng|4204,51,53
Zeng|24598,Macosko|Ex_Pax2_Erfl_2,11,63
Zeng|3354,Macosko|Inh_Pax5_Il20ra,127,16
Zeng|4336,Macosko|Ex_Ebf2_Ddit4l_1,87,374
Zeng|4337,Macosko|Ex_Ebf2_Ddit4l_3,22,39
Zeng|2417,Macosko|ExInh_Lmx1b_Nmu_2,182,49
Zeng|1194,Macosko|Inh_Isl1_Drd1_Folh1_1,9429,6815
Zeng|3970,Macosko|Ex_Phox2b_Olfr560_1,75,82
Zeng|1289,Macosko|Inh_Vwc2l_Colq,134,786
Zeng|2988,Macosko|Inh_Pax3_Vmn1r207_4,77,86
Macosko|ExInh_Lmx1b_Card14,Zeng|2417,124,182
Zeng|3972,Macosko|NorEx_Phox2b_Gch1,35,30
Macosko|Inh_Pax7_Nhlh1,Zeng|3007,38,355
Macosko|NorEx_Phox2b_Tmem45a2_2,Zeng|3968,88,154
Zeng|3977,Macosko|Inh_Foxp2_Tmem233_3,35,43
Zeng|1284,Macosko|Inh_Frmd7_Zim1,148,599
Zeng|1379,Macosko|Inh_Creb5_Ror1_2,158,673
Zeng|994,Macosko|Inh_Pax6_Eya4_1,80,72
Zeng|4335,Macosko|Ex_Ebf2_C1qtnf7_1,69,268
Macosko|Inh_Pax2_6430628N08Rik_5,Zeng|4204,19,53
Zeng|2885,Macosko|Ex_Pou4f1_Fads2b_2,51,28
Zeng|3934,Macosko|NorEx_Phox2b_Pmnt_1,53,168
Zeng|4245,Macosko|Ex_Lmx1b_Dynap_4,58,52
Zeng|2983,Macosko|Inh_Pax7_Nhlh1,60,38
Zeng|4283,Macosko|Ex_Pax5_Ggta1_2,25,45
Zeng|1381,Macosko|Inh_Creb5_Ror1_1,172,826
Zeng|2602,Macosko|Ex_Lhx9_Nps,51,21
Zeng|1281,Macosko|Inh_Vwc2l_Otogl1_2,54,55
Zeng|1605,Macosko|Ex_Onecut3_Spag16_3,23,75
Zeng|4203,Macosko|Inh_Pax2_6430628N08Rik_2,96,192
Zeng|2670,Macosko|CholEx_Tcf24_Oxtr,14,16
Zeng|4456,Macosko|Inh_Pax2_Krt17_2,159,79
Zeng|4231,Macosko|Ex_Ebf2_Sec1_1,76,139
Zeng|2775,Macosko|Ex_Lmx1b_Cd36_2,25,32
Zeng|3962,Macosko|NorEx_Phox2b_Gch1,62,30
Zeng|3966,Macosko|NorEx_Phox2b_Gfral_2,50,71
Zeng|3166,Macosko|Inh_Gata3_Ucn3,10,40
Zeng|4205,Macosko|Inh_Pax2_6430628N08Rik_3,31,51
Zeng|3953,Macosko|Ex_Phox2b_Dbh_1,70,109
Zeng|3021,Macosko|Ex_Vsx2_Cdc42ep5,112,80
Zeng|2265,Macosko|Ex_Otx2_Sapcd1,141,72
Zeng|4345,Macosko|Ex_Ebf2_Nat8f6_2,137,92
Zeng|4344,Macosko|Ex_Ebf2_Nat8f6_1,46,74
Zeng|4267,Macosko|Ex_Pax5_Npbwr1,74,39
Macosko|Ex_Ebf2_Ucn3_1,Zeng|4344,84,46
Zeng|3969,Macosko|Ex_Pou4f2_Olfr560_2,89,74
Zeng|1286,Macosko|Inh_Frm7_Otop1_2,298,113
Zeng|4384,Macosko|Inh_Hoxc4_Chrdl2_2,36,46
Zeng|4232,Macosko|Ex_Ebf2_Sec1_4,45,126
Zeng|4208,Macosko|Inh_Pax2_Kirrel2_1,40,172
Zeng|1836,Macosko|Inh_Pde11a_Pgm5_6,87,612
Zeng|3965,Macosko|NorEx_Phox2b_Gfral_2,35,71
Zeng|2984,Macosko|Inh_Pax3_Vmn1r207_7,176,51
Macosko|Inh_Pax2_Olfr372_2,Zeng|4456,68,159
Macosko|Ex_Phox2b_Olfr560_2,Zeng|3969,87,89
Zeng|3943,Macosko|Ex_Phox2b_Dkk2_3,36,65
Zeng|4387,Macosko|Inh_Hoxc4_Fbln2_1,129,79
Zeng|2413,Macosko|DopEx_Calb1_Lpl_1,63,50
Zeng|2400,Macosko|DopEx_Calb1_Col6a5,297,117
Macosko|NorEx_Phox2b_Gfral_4,Zeng|3965,53,35
Zeng|1285,Macosko|Inh_Vwc2l_Otogl1_3,193,75
Zeng|4333,Macosko|Ex_Ebf2_Fer1l6_1,169,436
Zeng|2987,Macosko|Inh_Pax3_Vmn1r207_4,39,86
Zeng|3915,Macosko|NorEx_Phox2b_Gfral_1,36,48
Zeng|4391,Macosko|Inh_Hoxc4_F5_2,49,54
Zeng|4385,Macosko|Inh_Hoxc4_F5_2,151,54
Zeng|4340,Macosko|Ex_Ebf2_Rxfp1,78,92
Macosko|Inh_Hoxc4_Abcc9_2,Zeng|4390,20,212
Zeng|2836,Macosko|Ser_Fev_Siglec15,77,82
Zeng|4459,Macosko|Inh_Pax2_Glp1r_3,150,307
Zeng|3029,Macosko|Ex_Nkx6-1_Vsx2_1,126,21
Zeng|3001,Macosko|Inh_Pax7_P2ry10b_3,19,53
Zeng|3103,Macosko|Ex_Vsx2_Ghrh_2,57,79
Macosko|Ex_Phox2b_Cd36,Zeng|3942,156,141
Zeng|3956,Macosko|Ex_Phox2a_Qrfpr,18,20
Zeng|2396,Macosko|DopEx_Calb1_Aqp1,57,160
Zeng|3951,Macosko|Ex_Phox2b_Dbh_4,72,115
Zeng|3973,Macosko|NorEx_Phox2b_Ppara_1,34,60
Zeng|34321,Macosko|Inh_Tfap2b_Gabrq_1,51,53
Zeng|4312,Macosko|Ex_Phox2b_Bmp3_2,34,31
Zeng|3868,Macosko|Ex_C1ql4_Nostrin,25,91
Zeng|3472,Macosko|Inh_Otx2_Bmp4_1,77,129
Zeng|34197,Macosko|Inh_Foxl3_Apela,27,31
Zeng|3930,Macosko|Ex_Phox2b_Zbbx_Nts_1,31,25
Zeng|3894,Macosko|Chol_Tbx20_S100a11_4,75,95
Macosko|Inh_Pax2_Olfr920_2,Zeng|4205,24,31
Zeng|4330,Macosko|Ex_Ebf2_Gask1b_1,379,264
Zeng|2664,Macosko|Ex_C1ql4_Drd1_7,112,27
Zeng|34342,Macosko|Inh_Pax2_Igfbpl1_2,59,46
Macosko|Ex_Ebf2_Ucn3_2,Zeng|4345,45,137
Zeng|4209,Macosko|Inh_Pax2_Hrob_6,21,69
Zeng|4410,Macosko|Inh_Pax2_Igfbp4,92,78
