species,Zeng,Macosko,avg_AUROC,phylo_time
Bengalese_finch,0.9660895092380857,0.9572381438122053,0.9616638265251455,319
axolotl,0.9323400889907462,0.9215044267216301,0.9269222578561882,352
chimp,0.9759209523231523,0.965261308993035,0.9705911306580937,87
frog,0.8056618032648688,0.8143634663374738,0.8100126348011714,352
fruitfly,0.7931470318584207,0.781183737846224,0.7871653848523223,686
human,0.9690332682732427,0.9643690484055513,0.9667011583393968,87
lamprey,0.8871741389141571,0.8775186178851697,0.8823463783996635,563
lizard,0.9490185081318244,0.9429020295231898,0.9459602688275071,319
marmoset,0.9756979093705513,0.9682824393265688,0.97199017434856,87
opossum,0.9880693565455716,0.9842414391795583,0.986155397862565,160
pig,0.9858326741259131,0.9854381268873907,0.9856354005066519,94
rhesus,0.9763834101126219,0.9696938125576863,0.9730386113351541,87
spider,0.6982613747106827,0.697704190748635,0.6979827827296589,686
turtle,0.9566024352678892,0.9450756900396898,0.9508390626537895,319
zebrafinch,0.9505631569672618,0.9479992858232247,0.9492812213952433,319
zebrafish,0.9359584270374713,0.9208889853940164,0.9284237062157439,429
