parcellation_division_remap,recip_hit_FALSE,recip_hit_TRUE,dataset_recip_hit_FALSE,dataset_recip_hit_TRUE,total_cells_in_region,percent_recip,dataset_total_cells,dataset_prop_recip,p_enriched,p_depleted,difference_from_dataset_average,Dataset,fold_change
ACA,45777,7424,3562662,768245,53201,0.13954624913065544,4330907,0.17738663056029602,1,2.4411907215023084e-124,-0.03784038142964058,MERFISH,0.7866785038414823
AUD,35151,6188,3562662,768245,41339,0.14968915551900142,4330907,0.17738663056029602,1,5.284186983306589e-52,-0.027697475041294606,MERFISH,0.8438581591306574
BS,247027,36573,3562662,768245,283600,0.12895980253878703,4330907,0.17738663056029602,1,0,-0.048426828021508994,MERFISH,0.7269984334865187
CB,172607,210357,3562662,768245,382964,0.5492866170188321,4330907,0.17738663056029602,0,1,0.37189998645853606,MERFISH,3.096550260207589
CTXsp,54414,6204,3562662,768245,60618,0.10234583786993962,4330907,0.17738663056029602,1,0,-0.0750407926903564,MERFISH,0.5769647777099579
ENT,67799,15185,3562662,768245,82984,0.18298708184710305,4330907,0.17738663056029602,1.0986768092424028e-5,0.9999894506426243,0.005600451286807029,MERFISH,1.031572003307788
HPF,167162,39358,3562662,768245,206520,0.19057718380786365,4330907,0.17738663056029602,1.825542804246603e-57,1,0.013190553247567627,MERFISH,1.0743604701543952
HY,125893,6749,3562662,768245,132642,0.05088131964234556,4330907,0.17738663056029602,1,0,-0.12650531091795048,MERFISH,0.2868385260018248
Isocortex,277421,48705,3562662,768245,326126,0.14934411853087456,4330907,0.17738663056029602,1,0,-0.028042512029421457,MERFISH,0.8419130464294521
LSX,30383,3396,3562662,768245,33779,0.10053583587435981,4330907,0.17738663056029602,1,0,-0.07685079468593621,MERFISH,0.5667610662472468
MB,257085,24323,3562662,768245,281408,0.08643322151466909,4330907,0.17738663056029602,1,0,-0.09095340904562693,MERFISH,0.48725893964872014
MOp,68625,15334,3562662,768245,83959,0.18263676318202932,4330907,0.17738663056029602,3.128001331959286e-5,0.9999698962624186,0.005250132621733294,MERFISH,1.029597115662833
OLF,235781,38211,3562662,768245,273992,0.13946027621244417,4330907,0.17738663056029602,1,0,-0.037926354347851854,MERFISH,0.7861938398172562
PAL,69271,8367,3562662,768245,77638,0.10776939127746722,4330907,0.17738663056029602,1,0,-0.0696172392828288,MERFISH,0.6075395363058943
RSP,62873,23007,3562662,768245,85880,0.2678970656730321,4330907,0.17738663056029602,0,1,0.0905104351127361,MERFISH,1.5102438375814937
S1,174956,27585,3562662,768245,202541,0.13619464700974124,4330907,0.17738663056029602,1,0,-0.041191983550554784,MERFISH,0.7677841705406705
STR,119632,13413,3562662,768245,133045,0.10081551354804766,4330907,0.17738663056029602,1,0,-0.07657111701224836,MERFISH,0.5683377221248879
STRd,169186,64810,3562662,768245,233996,0.27697054650506847,4330907,0.17738663056029602,0,1,0.09958391594477245,MERFISH,1.561394709568727
SUB,12796,2353,3562662,768245,15149,0.15532378374810218,4330907,0.17738663056029602,0.9999999999997954,2.407855304205179e-13,-0.022062846812193837,MERFISH,0.8756228316502445
TH,121417,12240,3562662,768245,133657,0.09157769514503543,4330907,0.17738663056029602,1,0,-0.08580893541526059,MERFISH,0.5162604129509466
VIS,68543,12519,3562662,768245,81062,0.15443734425501468,4330907,0.17738663056029602,1,2.225120223809789e-69,-0.02294928630528134,MERFISH,0.8706256146092105
VISP,46911,15157,3562662,768245,62068,0.2441999097763743,4330907,0.17738663056029602,0,1,0.06681327921607827,MERFISH,1.376653409589217
VS,59302,3110,3562662,768245,62412,0.04983016086650003,4330907,0.17738663056029602,1,0,-0.127556469693796,MERFISH,0.28091271991077205
fiber tracts,265248,53969,3562662,768245,319217,0.16906681035157903,4330907,0.17738663056029602,1,3.9480847895811866e-38,-0.008319820208716994,MERFISH,0.9530978169976064
unassigned,607402,73708,3562662,768245,681110,0.10821746854399436,4330907,0.17738663056029602,1,0,-0.06916916201630166,MERFISH,0.6100655286262391
