Title,Overlap,Clusters,n,N,bias,two_sided.P.Value,two_sided.adj.P.Val
MC_219 Thalamic projection neurons,45,77,1834,4671,enrichment,8.6e-4,0.013
MC_62 Astrocytes,10,11,1834,4671,enrichment,6.1e-4,0.011
MC_198 Brainstem neurons,31,50,1834,4671,enrichment,0.0012,0.015
MC_141 Medullary neurons,41,71,1834,4671,enrichment,0.002,0.02
MC_58 Inhibitory olfactory neurons,24,37,1834,4671,enrichment,0.002,0.02
MC_108 Pontine and medullary neurons,24,37,1834,4671,enrichment,0.002,0.02
MC_199 Tegmental and pontine neurons,25,39,1834,4671,enrichment,0.0025,0.024
MC_112 Midbrain and pontine neurons,20,30,1834,4671,enrichment,0.004,0.034
MC_101 Midbrain neurons,12,16,1834,4671,enrichment,0.0044,0.035
MC_201 PAG and SCm neurons,53,101,1834,4671,enrichment,0.0072,0.052
"MC_23 MGE SST interneurons of isocortex, amygdala, and hippocampus",13,18,1834,4671,enrichment,0.0063,0.048
MC_89 Tectal neurons,14,20,1834,4671,enrichment,0.0095,0.064
MC_17 Septal and hypothalamic neurons,14,21,1834,4671,enrichment,0.013,0.075
MC_96 Midbrain neurons,17,27,1834,4671,enrichment,0.016,0.089
MC_50 Hippocampal CA3 neurons,11,16,1834,4671,enrichment,0.02,0.11
"MC_167 Pontine and medullary neurons, primarily nucleus solitarius",19,32,1834,4671,enrichment,0.028,0.13
MC_190 Hypothalamic neurons,13,20,1834,4671,enrichment,0.022,0.11
MC_207 Tegmental neurons,13,20,1834,4671,enrichment,0.022,0.11
"MC_75 Hypothalamic neurons, primarily superchiasmatic nucleus",8,11,1834,4671,enrichment,0.03,0.13
"MC_2 Striatal, amygdalar, and pallidal MGE neurons, including TH and PV striatal interneurons",9,13,1834,4671,enrichment,0.042,0.17
MC_166 Noradrenergic neurons of the nucleus solitarius,10,15,1834,4671,enrichment,0.035,0.14
MC_26 CGE interneurons,13,21,1834,4671,enrichment,0.043,0.17
"MC_197 Hypothalamic neurons, primarily periventricular and mammilary nuclei",49,102,1834,4671,enrichment,0.081,0.24
MC_15 Hypothalamic and pallidal neurons,29,57,1834,4671,enrichment,0.077,0.24
MC_28 CGE interneurons of multiple telencephalic areas,7,10,1834,4671,enrichment,0.056,0.2
"MC_211 Superior collicular, sensory area neurons",7,10,1834,4671,enrichment,0.056,0.2
MC_120 Pontine and medullary neurons,10,16,1834,4671,enrichment,0.072,0.24
MC_204 Tectal neurons,18,33,1834,4671,enrichment,0.076,0.24
MC_95 Tectal neurons,23,44,1834,4671,enrichment,0.088,0.25
"MC_184 Hypothalamic neurons, primarily preoptic nuclei",18,34,1834,4671,enrichment,0.11,0.3
MC_105 Midbrain neurons,12,21,1834,4671,enrichment,0.12,0.31
MC_100 Midbrain neurons,33,68,1834,4671,enrichment,0.13,0.33
MC_83 Hypothalamic and pallidal neurons,9,15,1834,4671,enrichment,0.12,0.31
MC_117 Pontine and medullary neurons,9,15,1834,4671,enrichment,0.12,0.31
MC_185 Midbrain dopaminergic neurons,8,13,1834,4671,enrichment,0.15,0.37
