Title,Overlap,Clusters,n,N,bias,two_sided.P.Value,two_sided.adj.P.Val
Thalamic projection neurons,45,77,1834,4671,enrichment,8.6e-4,0.013
Astrocytes,10,11,1834,4671,enrichment,6.1e-4,0.011
Brainstem neurons,31,50,1834,4671,enrichment,0.0012,0.015
Medullary neurons,41,71,1834,4671,enrichment,0.002,0.02
Inhibitory olfactory neurons,24,37,1834,4671,enrichment,0.002,0.02
Pontine and medullary neurons,24,37,1834,4671,enrichment,0.002,0.02
Tegmental and pontine neurons,25,39,1834,4671,enrichment,0.0025,0.024
Midbrain and pontine neurons,20,30,1834,4671,enrichment,0.004,0.034
Midbrain neurons,12,16,1834,4671,enrichment,0.0044,0.035
PAG and SCm neurons,53,101,1834,4671,enrichment,0.0072,0.052
"MGE SST interneurons of isocortex, amygdala, and hippocampus",13,18,1834,4671,enrichment,0.0063,0.048
Tectal neurons,14,20,1834,4671,enrichment,0.0095,0.064
Septal and hypothalamic neurons,14,21,1834,4671,enrichment,0.013,0.075
Midbrain neurons,17,27,1834,4671,enrichment,0.016,0.089
Hippocampal CA3 neurons,11,16,1834,4671,enrichment,0.02,0.11
"Pontine and medullary neurons, primarily nucleus solitarius",19,32,1834,4671,enrichment,0.028,0.13
Hypothalamic neurons,13,20,1834,4671,enrichment,0.022,0.11
Tegmental neurons,13,20,1834,4671,enrichment,0.022,0.11
"Hypothalamic neurons, primarily superchiasmatic nucleus",8,11,1834,4671,enrichment,0.03,0.13
"Striatal, amygdalar, and pallidal MGE neurons, including TH and PV striatal interneurons",9,13,1834,4671,enrichment,0.042,0.17
Noradrenergic neurons of the nucleus solitarius,10,15,1834,4671,enrichment,0.035,0.14
CGE interneurons,13,21,1834,4671,enrichment,0.043,0.17
"Hypothalamic neurons, primarily periventricular and mammilary nuclei",49,102,1834,4671,enrichment,0.081,0.24
Hypothalamic and pallidal neurons,29,57,1834,4671,enrichment,0.077,0.24
CGE interneurons of multiple telencephalic areas,7,10,1834,4671,enrichment,0.056,0.2
"Superior collicular, sensory area neurons",7,10,1834,4671,enrichment,0.056,0.2
Pontine and medullary neurons,10,16,1834,4671,enrichment,0.072,0.24
Tectal neurons,18,33,1834,4671,enrichment,0.076,0.24
Tectal neurons,23,44,1834,4671,enrichment,0.088,0.25
"Hypothalamic neurons, primarily preoptic nuclei",18,34,1834,4671,enrichment,0.11,0.3
Midbrain neurons,12,21,1834,4671,enrichment,0.12,0.31
Midbrain neurons,33,68,1834,4671,enrichment,0.13,0.33
Hypothalamic and pallidal neurons,9,15,1834,4671,enrichment,0.12,0.31
Pontine and medullary neurons,9,15,1834,4671,enrichment,0.12,0.31
Midbrain dopaminergic neurons,8,13,1834,4671,enrichment,0.15,0.37
Lower layer isocortical neurons,13,25,1834,4671,enrichment,0.22,0.49
Hypothalamic and pallidal MGE neurons,8,14,1834,4671,enrichment,0.18,0.43
"MGE PV interneurons, likely chandelier",7,12,1834,4671,enrichment,0.24,0.52
Reticular thalamic neurons,12,23,1834,4671,enrichment,0.21,0.49
Triangular septal nucleus neurons,6,10,1834,4671,enrichment,0.2,0.47
Medulary vestibular neurons,9,17,1834,4671,enrichment,0.32,0.64
Anterior hypothalamic neurons,12,24,1834,4671,enrichment,0.3,0.62
"Pontine and medullary neurons, primarily nucleus solitarius",26,57,1834,4671,enrichment,0.34,0.65
Hypothalamic neurons,11,22,1834,4671,enrichment,0.38,0.68
