Title,Overlap,Clusters,n,N,bias,two_sided.P.Value,two_sided.adj.P.Val
MY Glut,229,406,2009,5322,enrichment,2.4e-15,2.7e-14
MY GABA,193,353,2009,5322,enrichment,2.9e-11,2.5e-10
MB GABA,229,451,2009,5322,enrichment,4.4e-9,3e-8
P GABA,117,206,2009,5322,enrichment,1.8e-8,1e-7
OB-IMN GABA,60,105,2009,5322,enrichment,6e-5,2.3e-4
MB Glut,295,661,2009,5322,enrichment,1.1e-4,3.4e-4
Immune,8,11,2009,5322,enrichment,0.025,0.061
OB-CR Glut,9,16,2009,5322,enrichment,0.19,0.34
DG-IMN Glut,9,16,2009,5322,enrichment,0.19,0.34
CNU-MGE GABA,46,105,2009,5322,enrichment,0.22,0.36
MH-LH Glut,17,35,2009,5322,enrichment,0.22,0.36
P Glut,118,288,2009,5322,enrichment,0.26,0.38
CB GABA,14,30,2009,5322,enrichment,0.35,0.48
CTX-CGE GABA,41,101,2009,5322,enrichment,0.6,0.76
Vascular,8,19,2009,5322,enrichment,0.81,0.94
OEC,2,4,2009,5322,enrichment,0.64,0.78
MB-HB Sero,12,32,2009,5322,depletion,1,1
CNU-LGE GABA,34,94,2009,5322,depletion,0.83,0.94
CB Glut,3,9,2009,5322,depletion,1,1
TH Glut,38,113,2009,5322,depletion,0.38,0.5
MB Dopa,13,43,2009,5322,depletion,0.35,0.48
NP-CT-L6b Glut,26,83,2009,5322,depletion,0.25,0.38
CTX-MGE GABA,33,105,2009,5322,depletion,0.19,0.34
HY Glut,115,339,2009,5322,depletion,0.15,0.32
HY MM Glut,2,13,2009,5322,depletion,0.15,0.32
OPC-Oligo,3,23,2009,5322,depletion,0.016,0.042
Astro-Epen,12,60,2009,5322,depletion,0.0045,0.013
IT-ET Glut,116,402,2009,5322,depletion,1.1e-4,3.4e-4
LSX GABA,31,146,2009,5322,depletion,1.9e-5,8.1e-5
CNU-HYa Glut,53,236,2009,5322,depletion,4.3e-7,2.1e-6
CNU-HYa GABA,56,395,2009,5322,depletion,1e-26,3.4e-25
HY GABA,67,420,2009,5322,depletion,3.4e-24,5.8e-23
HY Gnrh1 Glut,0,1,2009,5322,depletion,1,1
Pineal Glut,0,1,2009,5322,depletion,1,1
