...1,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
1967,Zeng|24690,Macosko|Ex_Lhx9_Slc38a11_6,1,Reciprocal_top_hit
1492,Zeng|4058,Macosko|Ex_Hmx3_Npbwr1,1,Reciprocal_top_hit
8768,Zeng|1288,Macosko|Inh_Tmem200a_Esr2,1,Reciprocal_top_hit
7554,Zeng|3857,Macosko|Inh_Pax5_Gdf10_2,1,Reciprocal_top_hit
7513,Zeng|2986,Macosko|Inh_Pax3_Vmn1r207_5,1,Reciprocal_top_hit
1447,Zeng|5158,Macosko|Ex_Gabra6_Gabrd,1,Reciprocal_top_hit
8926,Zeng|3967,Macosko|NorEx_Phox2b_Ppara_2,1,Reciprocal_top_hit
7796,Zeng|3007,Macosko|Inh_Pax7_Vmn1r207_7,1,Reciprocal_top_hit
7510,Zeng|2989,Macosko|Inh_Pax3_Vmn1r207_3,1,Reciprocal_top_hit
2535,Zeng|3847,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,1,Reciprocal_top_hit
2734,Zeng|4263,Macosko|Ex_Phox2b_Bmp3_3,1,Reciprocal_top_hit
7628,Zeng|3140,Macosko|Inh_Pax5_Slc12a7_2,1,Reciprocal_top_hit
4521,Zeng|3097,Macosko|Ex_Vsx2_Tspo2_2,1,Reciprocal_top_hit
2897,Zeng|3921,Macosko|Ex_Phox2b_Slc39a12_2,1,Reciprocal_top_hit
8834,Zeng|1374,Macosko|Inh_Vip_Trim55_1,1,Reciprocal_top_hit
8239,Zeng|3169,Macosko|Inh_Six3_Fgf15,1,Reciprocal_top_hit
7330,Zeng|4457,Macosko|Inh_Pax2_Olfr372_1,1,Reciprocal_top_hit
7582,Zeng|3862,Macosko|Inh_Pax5_Olig3_2,1,Reciprocal_top_hit
303,Zeng|977,Macosko|Ex_Abi3bp_Hcrtr2,1,Reciprocal_top_hit
6017,Zeng|4392,Macosko|Inh_Hoxc4_F5_1,1,Reciprocal_top_hit
7605,Zeng|3358,Macosko|Inh_Pax5_Pgr15l_2,1,Reciprocal_top_hit
3663,Zeng|2252,Macosko|Ex_Slc12a7_Krt19,1,Reciprocal_top_hit
8601,Zeng|949,Macosko|Inh_Sp8_Spp1_1,1,Reciprocal_top_hit
7508,Zeng|2985,Macosko|Inh_Pax3_Vmn1r207_2,1,Reciprocal_top_hit
2814,Zeng|3950,Macosko|Ex_Phox2b_Ghsr_2,1,Reciprocal_top_hit
2896,Zeng|3923,Macosko|Ex_Phox2b_Slc39a12_1,1,Reciprocal_top_hit
21,Zeng|4050,Macosko|CholEx_Fbxl7_Defa24,1,Reciprocal_top_hit
8924,Zeng|3971,Macosko|NorEx_Phox2b_Ppara_1,1,Reciprocal_top_hit
2607,Zeng|24598,Macosko|Ex_Pax2_Erfl_2,1,Reciprocal_top_hit
831,Zeng|4336,Macosko|Ex_Ebf2_Ddit4l_1,1,Reciprocal_top_hit
833,Zeng|4337,Macosko|Ex_Ebf2_Ddit4l_3,1,Reciprocal_top_hit
6120,Zeng|1194,Macosko|Inh_Isl1_Drd1_Folh1_1,1,Reciprocal_top_hit
8842,Zeng|1289,Macosko|Inh_Vwc2l_Colq,1,Reciprocal_top_hit
5245,Zeng|3977,Macosko|Inh_Foxp2_Tmem233_3,1,Reciprocal_top_hit
5347,Zeng|1284,Macosko|Inh_Frmd7_Zim1,1,Reciprocal_top_hit
4645,Zeng|1379,Macosko|Inh_Creb5_Ror1_2,1,Reciprocal_top_hit
810,Zeng|4335,Macosko|Ex_Ebf2_C1qtnf7_1,1,Reciprocal_top_hit
8921,Zeng|3934,Macosko|NorEx_Phox2b_Pmnt_1,1,Reciprocal_top_hit
2204,Zeng|4245,Macosko|Ex_Lmx1b_Dynap_4,1,Reciprocal_top_hit
2627,Zeng|4283,Macosko|Ex_Pax5_Ggta1_2,1,Reciprocal_top_hit
4644,Zeng|1381,Macosko|Inh_Creb5_Ror1_1,1,Reciprocal_top_hit
1915,Zeng|2602,Macosko|Ex_Lhx9_Nps,1,Reciprocal_top_hit
8845,Zeng|1281,Macosko|Inh_Vwc2l_Otogl1_2,1,Reciprocal_top_hit
2571,Zeng|1605,Macosko|Ex_Onecut3_Spag16_3,1,Reciprocal_top_hit
81,Zeng|2670,Macosko|CholEx_Tcf24_Oxtr,1,Reciprocal_top_hit
997,Zeng|4231,Macosko|Ex_Ebf2_Sec1_1,1,Reciprocal_top_hit
2181,Zeng|2775,Macosko|Ex_Lmx1b_Cd36_2,1,Reciprocal_top_hit
8913,Zeng|3966,Macosko|NorEx_Phox2b_Gfral_2,1,Reciprocal_top_hit
5874,Zeng|3166,Macosko|Inh_Gata3_Ucn3,1,Reciprocal_top_hit
941,Zeng|4345,Macosko|Ex_Ebf2_Nat8f6_2,1,Reciprocal_top_hit
2634,Zeng|4267,Macosko|Ex_Pax5_Npbwr1,1,Reciprocal_top_hit
1000,Zeng|4232,Macosko|Ex_Ebf2_Sec1_4,1,Reciprocal_top_hit
7279,Zeng|4208,Macosko|Inh_Pax2_Kirrel2_1,1,Reciprocal_top_hit
7935,Zeng|1836,Macosko|Inh_Pde11a_Pgm5_6,1,Reciprocal_top_hit
7515,Zeng|2984,Macosko|Inh_Pax3_Vmn1r207_7,1,Reciprocal_top_hit
2795,Zeng|3943,Macosko|Ex_Phox2b_Dkk2_3,1,Reciprocal_top_hit
6025,Zeng|4387,Macosko|Inh_Hoxc4_Fbln2_1,1,Reciprocal_top_hit
199,Zeng|2413,Macosko|DopEx_Calb1_Lpl_1,1,Reciprocal_top_hit
192,Zeng|2400,Macosko|DopEx_Calb1_Col6a5,1,Reciprocal_top_hit
8846,Zeng|1285,Macosko|Inh_Vwc2l_Otogl1_3,1,Reciprocal_top_hit
8911,Zeng|3915,Macosko|NorEx_Phox2b_Gfral_1,1,Reciprocal_top_hit
996,Zeng|4340,Macosko|Ex_Ebf2_Rxfp1,1,Reciprocal_top_hit
9003,Zeng|2836,Macosko|Ser_Fev_Siglec15,1,Reciprocal_top_hit
7200,Zeng|4459,Macosko|Inh_Pax2_Glp1r_3,1,Reciprocal_top_hit
2454,Zeng|3029,Macosko|Ex_Nkx6-1_Vsx2_1,1,Reciprocal_top_hit
7755,Zeng|3001,Macosko|Inh_Pax7_P2ry10b_3,1,Reciprocal_top_hit
4275,Zeng|3103,Macosko|Ex_Vsx2_Ghrh_2,1,Reciprocal_top_hit
2712,Zeng|3956,Macosko|Ex_Phox2a_Qrfpr,1,Reciprocal_top_hit
190,Zeng|2396,Macosko|DopEx_Calb1_Aqp1,1,Reciprocal_top_hit
8709,Zeng|34321,Macosko|Inh_Tfap2b_Gabrq_1,1,Reciprocal_top_hit
407,Zeng|3868,Macosko|Ex_C1ql4_Nostrin,1,Reciprocal_top_hit
4916,Zeng|34197,Macosko|Inh_Foxl3_Apela,1,Reciprocal_top_hit
2924,Zeng|3930,Macosko|Ex_Phox2b_Zbbx_Nts_1,1,Reciprocal_top_hit
855,Zeng|4330,Macosko|Ex_Ebf2_Gask1b_1,1,Reciprocal_top_hit
7260,Zeng|34342,Macosko|Inh_Pax2_Igfbpl1_2,1,Reciprocal_top_hit
7257,Zeng|4410,Macosko|Inh_Pax2_Igfbp4,1,Reciprocal_top_hit
8655,Zeng|4153,Macosko|Inh_Tfap2a_Nxf7,1,Reciprocal_top_hit
7370,Zeng|4433,Macosko|Inh_Pax2_Postn_2,1,Reciprocal_top_hit
95,Zeng|571,Macosko|CholInh_Ecel1_Nid1,1,Reciprocal_top_hit
6008,Zeng|4359,Macosko|Inh_Hoxc4_Chrdl2_7,1,Reciprocal_top_hit
2206,Zeng|4243,Macosko|Ex_Lmx1b_Dynap_5,1,Reciprocal_top_hit
7114,Zeng|4414,Macosko|Inh_Pax2_Chrdl2_1,1,Reciprocal_top_hit
4254,Zeng|3046,Macosko|Ex_Vsx2_Col2a1,1,Reciprocal_top_hit
2802,Zeng|3961,Macosko|Ex_Phox2b_Gch1,1,Reciprocal_top_hit
3669,Zeng|2266,Macosko|Ex_Slc12a7_Odad1_1,1,Reciprocal_top_hit
5300,Zeng|1323,Macosko|Inh_Frmd7_Ltbp2_2,1,Reciprocal_top_hit
932,Zeng|4339,Macosko|Ex_Ebf2_Mgp,1,Reciprocal_top_hit
6980,Zeng|3473,Macosko|Inh_Otx2_Bmp4_2,1,Reciprocal_top_hit
5234,Zeng|3201,Macosko|Inh_Foxp2_Sox2_2,1,Reciprocal_top_hit
8886,Zeng|1371,Macosko|NG_Draxin_5,1,Reciprocal_top_hit
1491,Zeng|4036,Macosko|Ex_Hmx3_Has2,1,Reciprocal_top_hit
4303,Zeng|3060,Macosko|Ex_Vsx2_Igfbp4_3,1,Reciprocal_top_hit
2899,Zeng|3919,Macosko|Ex_Phox2b_Slc39a12_3,1,Reciprocal_top_hit
1846,Zeng|2609,Macosko|Ex_Lhx9_Atp8b1_3,1,Reciprocal_top_hit
291,Zeng|2420,Macosko|ExInh_Lmx1b_Met,1,Reciprocal_top_hit
7545,Zeng|3142,Macosko|Inh_Pax5_Cmtm8_1,1,Reciprocal_top_hit
852,Zeng|8175,Macosko|Ex_Ebf2_Fzd9_3,1,Reciprocal_top_hit
977,Zeng|4346,Macosko|Ex_Ebf2_Pla2g5_11,1,Reciprocal_top_hit
7350,Zeng|4212,Macosko|Inh_Pax2_Pdyn,1,Reciprocal_top_hit
4279,Zeng|3099,Macosko|Ex_Vsx2_Ghrh_3,1,Reciprocal_top_hit
5803,Zeng|3158,Macosko|Inh_Gata3_Pdlim3_4,1,Reciprocal_top_hit
113,Zeng|584,Macosko|Chol_Ecel1_Gm7271,1,Reciprocal_top_hit
7792,Zeng|3012,Macosko|Inh_Pax7_Vmn1r207_5,1,Reciprocal_top_hit
837,Zeng|4230,Macosko|Ex_Ebf2_Emilin2,1,Reciprocal_top_hit
7793,Zeng|3010,Macosko|Inh_Pax7_Vmn1r207_6,1,Reciprocal_top_hit
7676,Zeng|989,Macosko|Inh_Pax6_Eya4_4,1,Reciprocal_top_hit
3133,Zeng|2910,Macosko|Ex_Pou4f1_Cdh3_Lpar1,1,Reciprocal_top_hit
7024,Zeng|3474,Macosko|Inh_Otx2_Pcp2,1,Reciprocal_top_hit
8902,Zeng|2766,Macosko|Ng_Lhx1_Gcgr,1,Reciprocal_top_hit
