,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
3158,Macosko|Ex_Pou4f1_Htr5b_7,Zeng|3623,1.0,Above_0.99
3152,Macosko|Ex_Pou4f1_Htr5b_14,Zeng|3623,1.0,Above_0.99
3160,Macosko|Ex_Pou4f1_Htr5b_9,Zeng|3623,1.0,Above_0.99
3159,Macosko|Ex_Pou4f1_Htr5b_8,Zeng|3623,1.0,Above_0.99
3157,Macosko|Ex_Pou4f1_Htr5b_6,Zeng|3623,1.0,Above_0.99
3156,Macosko|Ex_Pou4f1_Htr5b_5,Zeng|3623,1.0,Above_0.99
3155,Macosko|Ex_Pou4f1_Htr5b_4,Zeng|3623,1.0,Above_0.99
3153,Macosko|Ex_Pou4f1_Htr5b_2,Zeng|3623,1.0,Above_0.99
3154,Macosko|Ex_Pou4f1_Htr5b_3,Zeng|3623,1.0,Above_0.99
3151,Macosko|Ex_Pou4f1_Htr5b_13,Zeng|3623,1.0,Above_0.99
3149,Macosko|Ex_Pou4f1_Htr5b_11,Zeng|3623,1.0,Above_0.99
3148,Macosko|Ex_Pou4f1_Htr5b_10,Zeng|3623,1.0,Above_0.99
3147,Macosko|Ex_Pou4f1_Htr5b_1,Zeng|3623,1.0,Above_0.99
8981,Macosko|SerEx_Fev_Cwh43,Zeng|2844,1.0,Above_0.99
5944,Macosko|Inh_Gbx2_Chrna5_2,Zeng|34177,1.0,Above_0.99
5827,Macosko|Inh_Gata3_Sall1_3,Zeng|3248,1.0,Above_0.99
832,Macosko|Ex_Ebf2_Ddit4l_2,Zeng|4337,1.0,Above_0.99
4687,Macosko|Inh_Dmbx1_Gpx6,Zeng|3737,1.0,Above_0.99
7135,Macosko|Inh_Pax2_Creb3l3_2,Zeng|34361,1.0,Above_0.99
2252,Macosko|Ex_Lmx1b_Pou4f1_Arsj_2,Zeng|4227,1.0,Above_0.99
1967,Macosko|Ex_Lhx9_Slc38a11_6,Zeng|24690,1.0,Reciprocal_top_hit
99,Macosko|CholInh_Onecut3_Vmn1r213,Zeng|34363,1.0,Above_0.99
