Zeng_cluster,Macosko_cluster,p_value,Macokso_marker_size,Zeng_marker_size
5023,CholEx_Hmx2_A2m,1.6011123267262136e-07,4.0,4.0
3286,CholEx_Hmx3_Grpr,4.003158422803956e-08,3.0,3.0
2879,CholEx_Irx2_Slc43a3_4,8.00606510234552e-08,3.0,4.0
2880,CholEx_Irx2_Slc43a3_4,8.00606510234552e-08,3.0,4.0
2884,CholEx_Irx2_Slc43a3_4,1.3343022265138534e-07,3.0,5.0
1903,CholEx_Irx4_Matn1,2.0013904039551817e-07,3.0,6.0
3689,CholEx_Lhx9_Crabp1,1.3344280981450513e-08,2.0,3.0
2365,CholEx_Nkx2-4_Hmcn1_1,8.00606510234552e-08,4.0,3.0
24596,CholEx_Pax2_Crabp1_2,4.003158422803956e-08,3.0,3.0
3897,CholEx_Phox2a_Npy4r,4.003158422803956e-08,3.0,3.0
774,Chol_Ecel1_Gm7271,8.00606510234552e-08,3.0,4.0
891,Chol_Ecel1_Nid1,8.00606510234552e-08,3.0,4.0
1041,Chol_Tbx20_Fst_1,2.0013904039551817e-07,3.0,6.0
3894,Chol_Tbx20_S100a11_3,4.003158422803956e-08,3.0,3.0
1634,Chol_Tbx20_S100a11_4,2.6688561962901027e-08,2.0,4.0
4607,Chol_Tbx20_S100a11_4,2.6688561962901027e-08,2.0,4.0
2413,DopEx_Calb1_Col14a1,8.00606510234552e-08,4.0,3.0
2789,DopEx_Calb1_Ggta1,8.00606510234552e-08,3.0,4.0
2393,DopEx_Calb1_Lpl_1,4.003158422803956e-08,3.0,3.0
2413,DopEx_Calb1_Lpl_1,4.003158422803956e-08,3.0,3.0
977,Ex_Abi3bp_Hcrtr2,4.003158422803956e-08,3.0,3.0
24472,Ex_C1ql2_Glp1r,6.29269105954576e-11,5.0,5.0
4694,Ex_C1ql2_Glp1r,2.668352727575654e-07,5.0,4.0
3510,Ex_C1ql2_Pmfbp1,7.469978074418258e-07,4.0,8.0
3522,Ex_C1ql2_Pmfbp1,2.668352727575654e-07,4.0,5.0
5045,Ex_C1ql2_Pmfbp1,5.602835934044848e-07,4.0,7.0
300,Ex_C1ql4_Art4,8.00606510234552e-08,4.0,3.0
4750,Ex_C1ql4_Asb4,8.00606510234552e-08,3.0,4.0
3120,Ex_C1ql4_Calcr_2,8.00606510234552e-08,4.0,3.0
3864,Ex_C1ql4_Cpne7_1,4.003158422803956e-08,3.0,3.0
2648,Ex_C1ql4_Crispld2_1,1.3344280981450513e-08,3.0,2.0
3271,Ex_C1ql4_Gucy2c,8.00606510234552e-08,3.0,4.0
3342,Ex_C1ql4_Gucy2c,4.003158422803956e-08,3.0,3.0
24527,Ex_C1ql4_Islr2_1,8.00606510234552e-08,4.0,3.0
4720,Ex_C1ql4_Kcne4_1,8.00606510234552e-08,3.0,4.0
4634,Ex_C1ql4_Mdfic2_1,8.00606510234552e-08,4.0,3.0
4914,Ex_C1ql4_Mdfic2_1,2.668352727575654e-07,4.0,5.0
4697,Ex_C1ql4_Mettl24,2.668352727575654e-07,5.0,4.0
4750,Ex_C1ql4_Mettl24,2.668352727575654e-07,5.0,4.0
3434,Ex_C1ql4_Nts,8.00606510234552e-08,4.0,3.0
24573,Ex_C1ql4_Olfr48,8.00606510234552e-08,3.0,4.0
4706,Ex_C1ql4_Olfr48,8.00606510234552e-08,3.0,4.0
4921,Ex_C1ql4_Olfr48,8.00606510234552e-08,3.0,4.0
1722,Ex_C1ql4_Pappa,8.00606510234552e-08,3.0,4.0
2646,Ex_C1ql4_Prdm6,2.0013904039551817e-07,3.0,6.0
2654,Ex_C1ql4_Prdm6,8.00606510234552e-08,3.0,4.0
4718,Ex_C1ql4_Prph,1.6011123267262136e-07,4.0,4.0
4719,Ex_C1ql4_Prph,1.6011123267262136e-07,4.0,4.0
4720,Ex_C1ql4_Prph,1.6011123267262136e-07,4.0,4.0
4718,Ex_C1ql4_Rgcc_1,2.668352727575654e-07,5.0,4.0
4720,Ex_C1ql4_Rgcc_1,2.668352727575654e-07,5.0,4.0
4719,Ex_C1ql4_Rgcc_2,2.668352727575654e-07,5.0,4.0
24578,Ex_C1ql4_Rgcc_4,2.668352727575654e-07,5.0,4.0
5411,Ex_C1ql4_Rgcc_4,2.668352727575654e-07,5.0,4.0
4694,Ex_C1ql4_Serpina3g,2.668352727575654e-07,5.0,4.0
4706,Ex_C1ql4_Svep1,1.6011123267262136e-07,4.0,4.0
4710,Ex_C1ql4_Svep1,8.00606510234552e-08,4.0,3.0
4748,Ex_C1ql4_Svep1,1.6011123267262136e-07,4.0,4.0
4752,Ex_C1ql4_Svep1,8.00606510234552e-08,4.0,3.0
24534,Ex_C1ql4_Tac1,8.00606510234552e-08,4.0,3.0
4718,Ex_C1ql4_Tac1,1.6011123267262136e-07,4.0,4.0
4751,Ex_C1ql4_Tac1,1.6011123267262136e-07,4.0,4.0
4756,Ex_C1ql4_Teddm3_1,4.003158422803956e-08,3.0,3.0
2643,Ex_C1ql4_Tgm6_3,1.3343022265138534e-07,5.0,3.0
2658,Ex_C1ql4_Tgm6_3,2.668352727575654e-07,5.0,4.0
2669,Ex_C1ql4_Tgm6_3,2.668352727575654e-07,5.0,4.0
2654,Ex_C1ql4_Thbs4,8.00606510234552e-08,3.0,4.0
2432,Ex_C1ql4_Trhr_3,1.6011123267262136e-07,4.0,4.0
34186,Ex_C1ql4_Trhr_3,8.00606510234552e-08,4.0,3.0
3514,Ex_C1ql4_Trhr_5,2.668352727575654e-07,5.0,4.0
4494,Ex_C1ql4_Trhr_5,6.669623325249725e-07,5.0,6.0
110,Ex_Ccn2_Nmbr_3,6.669623325249725e-07,5.0,6.0
4126,Ex_Ccn2_Nmbr_4,4.44683503322212e-07,5.0,5.0
111,Ex_Ccn2_Prph,1.2447614684668015e-06,5.0,8.0
152,Ex_Ccn2_Prph,4.44683503322212e-07,5.0,5.0
192,Ex_Ccn2_Prph,1.2447614684668015e-06,5.0,8.0
24727,Ex_Ccn3_Fezf2_Cd36,4.002277374816599e-07,4.0,6.0
4745,Ex_Ccn3_Slc30a3_Dcn_1,2.668352727575654e-07,5.0,4.0
164,Ex_Ccn3_Slc30a3_Fanci,2.668352727575654e-07,4.0,5.0
289,Ex_Ccn3_Slc30a3_Fanci,1.6011123267262136e-07,4.0,4.0
194,Ex_Ccn3_Slc30a3_Grp,1.6011123267262136e-07,4.0,4.0
481,Ex_Cyp26b1_Slc30a3_Ptprc_1,2.668352727575654e-07,4.0,5.0
4903,Ex_Dach2_Arhgap36_1,8.00606510234552e-08,3.0,4.0
4862,Ex_Dach2_Arhgap36_3,6.293581559897426e-13,3.0,3.0
422,Ex_Dcn_Grik3,2.668352727575654e-07,5.0,4.0
3510,Ex_Defb1_Arhgap36,1.2447614684668015e-06,5.0,8.0
4509,Ex_Defb1_Arhgap36,2.668352727575654e-07,5.0,4.0
4935,Ex_Defb1_Bhlhe23_1,1.6011123267262136e-07,4.0,4.0
3537,Ex_Defb1_Cnga3,8.00606510234552e-08,3.0,4.0
1722,Ex_Defb1_Ldoc1_1,2.668352727575654e-07,5.0,4.0
106,Ex_Defb1_Zic2,4.44683503322212e-07,5.0,5.0
795,Ex_Dlk1_Nms,8.00606510234552e-08,3.0,4.0
1435,Ex_Dmrta2_Bmp3_1,2.668352727575654e-07,4.0,5.0
