Study_ID|Celltype_1,Study_ID|Celltype_2,best_AUROC,Mean_AUROC,Match_type
Zeng|14920,Macosko|Astro_Agt_Sntg1,0.9498609390281318,0.9498609390281318,Reciprocal_top_hit
Zeng|14953,Macosko|Astro_Emid1_Cd38,0.9790037223604712,0.9790037223604712,Reciprocal_top_hit
Zeng|1613,Macosko|Astro_Emid1_Gdf10,0.9824231841019652,0.9824231841019652,Reciprocal_top_hit
Zeng|205,Macosko|Astro_Ephb1_Fzd2,0.8997464252708455,0.8997464252708455,Reciprocal_top_hit
Zeng|14932,Macosko|Astro_Ephb1_Gfap,0.8922311370561364,0.8922311370561364,Reciprocal_top_hit
Zeng|4676,Macosko|Astro_Fabp7_Hs3st3a1_1,0.9585703889285824,0.9585703889285824,Reciprocal_top_hit
Zeng|2449,Macosko|Astro_Fabp7_Hs3st3a1_2,0.9601662972229644,0.9601662972229644,Reciprocal_top_hit
Zeng|14948,Macosko|Astro_Fabp7_Hs3st3a1_3,0.952213143551964,0.952213143551964,Reciprocal_top_hit
Zeng|14886,Macosko|Astro_Fabp7_Wt1,0.9793964606836,0.9793964606836,Reciprocal_top_hit
Zeng|4050,Macosko|CholEx_Fbxl7_Defa24,0.9983918894934468,0.9983918894934468,Reciprocal_top_hit
Zeng|1312,Macosko|CholEx_Hoxc4_Olfr681,0.9968676202380844,0.9968676202380844,Reciprocal_top_hit
Zeng|2893,Macosko|CholEx_Irx2_Slc43a3_1,0.9990815873092468,0.9990815873092468,Reciprocal_top_hit
Zeng|1337,Macosko|CholEx_Irx2_Slc43a3_3,0.9988276487836628,0.9988276487836628,Reciprocal_top_hit
Zeng|2672,Macosko|CholEx_Irx2_Slc43a3_4,0.9932001337276036,0.9932001337276036,Reciprocal_top_hit
Zeng|2164,Macosko|CholEx_Lmx1a_Tfcp2l1,0.7181651301068906,0.7181651301068906,Reciprocal_top_hit
Zeng|1913,Macosko|CholEx_Onecut2_Tnfrsf15,0.9593689006252004,0.9593689006252004,Reciprocal_top_hit
Zeng|3121,Macosko|CholEx_Phox2a_Npy4r,0.910870653758268,0.910870653758268,Reciprocal_top_hit
Zeng|2880,Macosko|CholEx_Pou4f1_Irx3,0.9908212060767242,0.9908212060767242,Reciprocal_top_hit
Zeng|3353,Macosko|CholEx_Pou4f2_Gli3,0.945784440045075,0.945784440045075,Reciprocal_top_hit
Zeng|24535,Macosko|CholEx_Tcf24_Oxtr,0.9977637496936886,0.9977637496936886,Reciprocal_top_hit
Zeng|2046,Macosko|CholInh_Ecel1_Ghrh_2,0.9994399393174944,0.9994399393174944,Reciprocal_top_hit
Zeng|2697,Macosko|CholInh_Ecel1_Nid1,0.9965051965629282,0.9965051965629282,Reciprocal_top_hit
Zeng|3074,Macosko|CholInh_Onecut3_Vmn1r213,0.9581542538453576,0.9581542538453576,Reciprocal_top_hit
Zeng|1449,Macosko|Chol_C1ql4_Olfr1033,0.9989687164457728,0.9989687164457728,Reciprocal_top_hit
Zeng|742,Macosko|Chol_Ecel1_1700025C18Rik_1,0.8767958532788986,0.8767958532788986,Reciprocal_top_hit
