marker_set,best_cluster,best_AUROC
14920,Astro_Agt_Sntg1,0.9498609390281318
14953,Astro_Emid1_Cd38,0.9790037223604712
1613,Astro_Emid1_Gdf10,0.9824231841019652
205,Astro_Ephb1_Fzd2,0.8997464252708455
14932,Astro_Ephb1_Gfap,0.8922311370561364
4676,Astro_Fabp7_Hs3st3a1_1,0.9585703889285824
2449,Astro_Fabp7_Hs3st3a1_2,0.9601662972229644
14948,Astro_Fabp7_Hs3st3a1_3,0.952213143551964
14886,Astro_Fabp7_Wt1,0.9793964606836
4050,CholEx_Fbxl7_Defa24,0.9983918894934468
1312,CholEx_Hoxc4_Olfr681,0.9968676202380844
2893,CholEx_Irx2_Slc43a3_1,0.9990815873092468
1337,CholEx_Irx2_Slc43a3_3,0.9988276487836628
2672,CholEx_Irx2_Slc43a3_4,0.9932001337276036
2164,CholEx_Lmx1a_Tfcp2l1,0.7181651301068906
1913,CholEx_Onecut2_Tnfrsf15,0.9593689006252004
3121,CholEx_Phox2a_Npy4r,0.910870653758268
2880,CholEx_Pou4f1_Irx3,0.9908212060767242
3353,CholEx_Pou4f2_Gli3,0.945784440045075
24535,CholEx_Tcf24_Oxtr,0.9977637496936886
2046,CholInh_Ecel1_Ghrh_2,0.9994399393174944
2697,CholInh_Ecel1_Nid1,0.9965051965629282
3074,CholInh_Onecut3_Vmn1r213,0.9581542538453576
1449,Chol_C1ql4_Olfr1033,0.9989687164457728
742,Chol_Ecel1_1700025C18Rik_1,0.8767958532788986
2211,Chol_Ecel1_Crabp2_1,0.9988768550165174
4826,Chol_Ecel1_Crabp2_2,0.9988445482491446
2074,Chol_Ecel1_Gm7271,0.9996234736735664
565,Chol_Ecel1_Insrr,0.9994225456652264
864,Chol_Ecel1_Nid1,0.9952276548266276
312,Chol_Ecel1_S100a11,0.9691251475590856
4263,Chol_Ecel1_Sall4,0.9985443896641164
1052,Chol_Irx4_Crispld2,0.9852956975950568
589,Chol_Irx4_Matn1_1,0.9980736855131116
4302,Chol_Irx4_Matn1_2,0.7924205254863588
4183,Chol_Irx4_Matn1_5,0.998651655109148
859,Chol_Isl2_1700017N19Rik_2,0.99559082450603
2065,Chol_Isl2_Gata6_3,0.945555030859226
1733,Chol_Isl2_Il22ra1_1,0.9812278091413204
5093,Chol_Isl2_Il22ra1_2,0.9859325850634856
3812,Chol_Isl2_Il22ra1_3,0.9959698515466616
3410,Chol_Isl2_Mnx1_2,0.9969786408777384
1394,Chol_Lhx4_Lrrc52,0.9151688753283648
427,Chol_Pitx2_Antxrl,0.8892475221922503
899,Chol_Tbx20_A4galt_2,0.945416684396666
2806,Chol_Tbx20_Car3,0.9984026394136504
15001,Chol_Tbx20_Fst_1,0.8203197715108448
2552,Chol_Tbx20_Gm7694_1,0.968101830044182
1167,Chol_Tbx20_Has2,0.9601662914367664
3692,Chol_Tbx20_Plau,0.9961684756944011
5091,Chol_Tbx20_S100a11_1,0.8913911234663862
1926,Chol_Tbx20_S100a11_2,0.9600610405654986
2651,Chol_Tbx20_S100a11_4,0.9964194902125432
2338,Chol_Tbx20_S100a11_8,0.9983855504527196
4516,Chol_Tbx3_Ptgr1,0.9958839923088
2543,DopEx_Calb1_Aqp1,0.9994609225810142
2400,DopEx_Calb1_Col6a5,0.9993732719809876
2415,DopEx_Calb1_Lpl_1,0.9988993126319702
1481,DopEx_Calb1_Lpl_2,0.9954278734559384
2396,DopEx_Calb1_Mc3r,0.9986560922573712
2397,DopEx_Calb1_Npw_2,0.9253410533557558
3188,DopEx_Calb1_Tdh,0.9923019850930176
