target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Steuernagel,HY,Hypothalamus,Steuernagel|a1_tanycytes1,255,Macosko|Tanycyte_Rax_Ccdc170,0.986036322,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|a1_tanycytes2,58,Macosko|Tanycyte_Rax_Ccdc170,0.97373907,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|a2_tanycytes,891,Macosko|Tanycyte_Rax_Ccdc170,0.987885504,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACMB_Astrocytes,23,Macosko|Ependymal_Tmem212_1700012P22Rik_Sntn,0.96706344,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACNT1_Astrocytes,69,Macosko|OlfactoryEnsheathing_Alx4_Olfr1271_1,0.94719655,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACNT2_Astrocytes,161,Macosko|Astro_Ephb1_Gfap,0.956301373,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|ACTE1_Astrocytes,3,Macosko|Astro_Ephb1_Gfap,0.995362697,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|ACTE2_Astrocytes,13,Macosko|Astro_Ephb1_Gfap,0.965338331,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Agrp/Gm8773,1162,Macosko|Pit_Pou1f1_Epcam,0.929418225,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Agrp/Sst,365,Macosko|Inh_Otx2_Prdm16_5,0.894873415,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro,5263,Macosko|NG_Myoz1_5,0.956221587,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_1,6500,Macosko|Astro_Emid1_Cd38,0.993882481,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_12,86,Macosko|Pit_Six1_Gnrhr,0.738801161,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_2,306,Macosko|Astro_Emid1_Gdf10,0.950217333,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_22,1366,Macosko|NG_Myoz1_3,0.924486595,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_23,33,Macosko|Astro_Emid1_Gdf10,0.874114706,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes,63,Macosko|OlfactoryEnsheathing_Alx4_Prss56,0.977347931,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_1,604,Macosko|Astro_Ephb1_Gfap,0.943132173,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_10,957,Macosko|Astro_Ephb1_Gfap,0.951575216,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_11,86,Macosko|Astro_Ephb1_Gfap,0.975042296,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_2,62,Macosko|Astro_Fabp7_Hs3st3a1_4,0.952036389,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|b1_tanycytes,1452,Macosko|Tanycyte_Rax_Fndc3c1_2,0.992661334,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|b2_tanycytes1,429,Macosko|Tanycyte_Rax_Fndc3c1_1,0.997159452,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|b2_tanycytes2,367,Macosko|Tanycyte_Rax_Fndc3c1_1,0.997994839,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C0-Slc32a1/Gad1,1495,Macosko|Inh_Pax6_Pdgfd_2,0.98129232,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|C1-Slc1a3/Slc1a2,1464,Macosko|Inh_Frmd7_Olfr142_3,0.996340301,FALSE
