target_study,region,region_name,target_celltype,target_size,ref_celltype,AUROC,is_recip
Steuernagel,HY,Hypothalamus,Steuernagel|a1_tanycytes1,255,Zeng|14913,0.985543127,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|a1_tanycytes2,58,Zeng|14913,0.985869996,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|a2_tanycytes,891,Zeng|14998,0.98896245,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACMB_Astrocytes,23,Zeng|14872,0.972553827,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACNT1_Astrocytes,69,Zeng|14857,0.96181041,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|ACNT2_Astrocytes,161,Zeng|14857,0.974012625,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|ACTE1_Astrocytes,3,Zeng|14930,0.997098979,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|ACTE2_Astrocytes,13,Zeng|14954,0.975670963,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Agrp/Gm8773,1162,Zeng|1983,0.988078297,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Agrp/Sst,365,Zeng|1984,0.974347292,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro,5263,Zeng|14962,0.915927029,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_1,6500,Zeng|14962,0.98927463,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_12,86,Zeng|1426,0.768187023,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_2,306,Zeng|14962,0.934615356,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_22,1366,Zeng|14956,0.902703291,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astro_23,33,Zeng|14932,0.868483926,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes,63,Zeng|5240,0.982345682,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_1,604,Zeng|14851,0.949053371,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_10,957,Zeng|14930,0.949292396,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_11,86,Zeng|14872,0.985909632,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|Astrocytes_2,62,Zeng|14851,0.96458874,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|b1_tanycytes,1452,Zeng|14914,0.992468926,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|b2_tanycytes1,429,Zeng|14917,0.996429467,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|b2_tanycytes2,367,Zeng|14917,0.996592847,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C0-Slc32a1/Gad1,1495,Zeng|3419,0.984920197,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C1-Slc1a3/Slc1a2,1464,Zeng|9390,0.989233921,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C10-Qrfpr/Nos1,849,Zeng|2094,0.991781907,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C11-Ebf3/Sim1,827,Zeng|2455,0.992219718,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C12-Epha3/Pou6f2,800,Zeng|1996,0.998228796,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C13-Pdgfra/Xylt1,729,Zeng|5207,0.999341114,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C14-Agrp/Npy,701,Zeng|1984,0.99741808,TRUE
Steuernagel,HY,Hypothalamus,Steuernagel|C15-Dlx1/Dlx6os1,688,Zeng|653,0.978267573,FALSE
Steuernagel,HY,Hypothalamus,Steuernagel|C16-Ntng2/Lef1,624,Zeng|1951,0.995614987,FALSE
