region_remap,ClusterNm,cell_count_Macosko
ACA,Astro_Agt_Sntg1,6
ACA,Astro_Emid1_Cd38,0
ACA,Astro_Emid1_Gdf10,0
ACA,Astro_Ephb1_Fzd2,12215
ACA,Astro_Ephb1_Gfap,402
ACA,Astro_Fabp7_Hs3st3a1_1,0
ACA,Astro_Fabp7_Hs3st3a1_2,0
ACA,Astro_Fabp7_Hs3st3a1_3,0
ACA,Astro_Fabp7_Hs3st3a1_4,0
ACA,Astro_Fabp7_Hs3st3a1_5,0
ACA,Astro_Fabp7_Siah3,1
ACA,Astro_Fabp7_Wt1,0
ACA,CholEx_Evx2_Erfl,0
ACA,CholEx_Fbxl7_Defa24,0
ACA,CholEx_Foxb1_Ctxn3,0
ACA,CholEx_Hmx2_A2m,0
ACA,CholEx_Hmx2_Hmx3,0
ACA,CholEx_Hmx2_Pthlh,0
ACA,CholEx_Hmx3_Agtr1b,0
ACA,CholEx_Hmx3_Grpr,0
ACA,CholEx_Hmx3_Wnt10a,0
ACA,CholEx_Hoxb5_Prdm16_1,0
ACA,CholEx_Hoxb5_Prdm16_2,0
ACA,CholEx_Hoxc4_Olfr681,0
ACA,CholEx_Irx2_Gm5741,0
ACA,CholEx_Irx2_Slc43a3_1,0
ACA,CholEx_Irx2_Slc43a3_2,0
ACA,CholEx_Irx2_Slc43a3_3,0
ACA,CholEx_Irx2_Slc43a3_4,0
ACA,CholEx_Irx4_Matn1,0
ACA,CholEx_Lhx9_Crabp1,0
ACA,CholEx_Lhx9_Evx2_Crabp1,0
ACA,CholEx_Lhx9_Lacc1,0
ACA,CholEx_Lmx1a_Tfcp2l1,0
ACA,CholEx_Lmx1b_Abcc2,0
ACA,CholEx_Nkx2-4_Hmcn1_1,0
ACA,CholEx_Nkx2-4_Hmcn1_2,0
ACA,CholEx_Onecut1_Ppp1r1c,0
ACA,CholEx_Onecut2_Crabp1_1,0
ACA,CholEx_Onecut2_Crabp1_2,0
ACA,CholEx_Onecut2_Crabp1_3,0
ACA,CholEx_Onecut2_Tnfrsf15,0
ACA,CholEx_Pax2_Bmp4,0
ACA,CholEx_Pax2_Crabp1_1,0
ACA,CholEx_Pax2_Crabp1_2,0
ACA,CholEx_Pax2_Muc16,0
ACA,CholEx_Pax2_Shisal2b,0
ACA,CholEx_Phox2a_Npy4r,0
ACA,CholEx_Pou4f1_Irx3,0
ACA,CholEx_Pou4f2_Gli3,0
ACA,CholEx_Tcf24_Oxtr,0
ACA,CholInh_Ecel1_Ghrh_1,0
ACA,CholInh_Ecel1_Ghrh_2,0
ACA,CholInh_Ecel1_Nid1,0
ACA,CholInh_Gata3_Nptx2,0
ACA,CholInh_Onecut3_Vmn1r213,0
ACA,CholInh_Pax8_Chodl,0
ACA,CholInh_Pax8_Psd4,0
ACA,CholInh_Pax8_Tnnt2,0
ACA,Chol_C1ql4_Olfr1033,0
ACA,Chol_Ecel1_1700025C18Rik_1,0
ACA,Chol_Ecel1_1700025C18Rik_2,0
ACA,Chol_Ecel1_Crabp2_1,0
ACA,Chol_Ecel1_Crabp2_2,0
ACA,Chol_Ecel1_Gm7271,0
ACA,Chol_Ecel1_Gpr174,0
ACA,Chol_Ecel1_Insrr,0
ACA,Chol_Ecel1_Nid1,0
ACA,Chol_Ecel1_S100a11,0
ACA,Chol_Ecel1_Sall4,0
ACA,Chol_Irx4_Crispld2,0
ACA,Chol_Irx4_Matn1_1,0
ACA,Chol_Irx4_Matn1_2,0
ACA,Chol_Irx4_Matn1_3,0
ACA,Chol_Irx4_Matn1_4,0
ACA,Chol_Irx4_Matn1_5,0
ACA,Chol_Isl2_1700017N19Rik_1,0
ACA,Chol_Isl2_1700017N19Rik_2,0
ACA,Chol_Isl2_Cpb1,0
ACA,Chol_Isl2_Gata6_1,0
ACA,Chol_Isl2_Gata6_2,0
ACA,Chol_Isl2_Gata6_3,0
ACA,Chol_Isl2_Gata6_4,0
ACA,Chol_Isl2_Il22ra1_1,0
ACA,Chol_Isl2_Il22ra1_2,0
ACA,Chol_Isl2_Il22ra1_3,0
ACA,Chol_Isl2_Mnx1_1,0
ACA,Chol_Isl2_Mnx1_2,0
ACA,Chol_Lhx4_Lrrc52,0
ACA,Chol_Pitx2_Antxrl,0
ACA,Chol_Tbx3_Ptgr1,0
ACA,Chol_Tbx20_A4galt_1,0
ACA,Chol_Tbx20_A4galt_2,0
ACA,Chol_Tbx20_Apol6,0
ACA,Chol_Tbx20_Car3,0
ACA,Chol_Tbx20_Casp12,0
ACA,Chol_Tbx20_Edn3,0
ACA,Chol_Tbx20_Fst_1,0
ACA,Chol_Tbx20_Fst_2,0
ACA,Chol_Tbx20_Fst_3,0
ACA,Chol_Tbx20_Gm7694_1,0
ACA,Chol_Tbx20_Gm7694_2,0
ACA,Chol_Tbx20_Has2,0
ACA,Chol_Tbx20_Plau,0
ACA,Chol_Tbx20_S100a11_1,0
ACA,Chol_Tbx20_S100a11_2,0
ACA,Chol_Tbx20_S100a11_3,0
ACA,Chol_Tbx20_S100a11_4,0
ACA,Chol_Tbx20_S100a11_5,0
ACA,Chol_Tbx20_S100a11_6,0
ACA,Chol_Tbx20_S100a11_7,0
ACA,Chol_Tbx20_S100a11_8,0
